wave,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2022,15.632587835176619,0.0,0.0,-0.6168149947933788,0.0,,4.962844630259907,26.0,0.0,True,True
2022,13.122363377404328,0.0,0.0,-0.6168149947933788,0.0,,2.4849066497880004,17.0,0.0,True,True
2022,14.643511454691682,0.0,0.0,-0.6168149947933788,1.0,,4.709530201312334,11.0,0.0,True,True
2022,13.266944606215436,0.0,0.0,-0.6168149947933788,1.0,,2.1972245773362196,14.0,0.0,True,True
2022,14.079443450204392,0.0,0.0,-0.6168149947933788,0.0,,3.8918202981106265,23.0,0.0,True,True
2022,14.779532692659618,0.0,0.0,-0.6168149947933788,0.0,,4.499809670330265,31.0,0.0,True,True
2022,15.712630542850155,0.0,0.0,3.1923451508892953,1.0,,2.70805020110221,32.0,0.0,True,True
2022,14.77102200299171,0.4,0.16000000000000003,-0.6168149947933788,0.0,,5.521460917862246,29.0,0.0,True,True
2022,16.11809565095832,0.0,0.0,-0.6168149947933788,1.0,,3.912023005428146,49.0,0.0,True,True
2022,12.265106177114367,0.0,0.0,-0.6168149947933788,0.0,,3.6109179126442243,15.0,0.0,True,True
2022,14.10593885608408,0.0,0.0,-0.6168149947933788,1.0,,2.6390573296152584,13.0,0.0,True,True
2022,16.046753082318375,0.0,0.0,3.66849016909963,1.0,,5.857933154483459,14.0,0.0,True,True
2022,13.661359878137016,0.0,0.0,0.8116200598376241,0.0,,5.857933154483459,38.0,0.0,True,True
2022,14.508657738524219,1.0,1.0,0.8116200598376241,1.0,,3.912023005428146,54.0,0.0,True,True
2022,14.326336181730264,0.0,0.0,-0.6168149947933788,0.0,,4.787491742782046,22.0,0.0,True,True
2022,14.408223341202449,0.0,0.0,-0.6168149947933788,1.0,,2.8903717578961645,27.0,0.0,True,True
2022,12.611537753638338,0.0,0.0,-0.6168149947933788,0.0,,1.6094379124341003,32.0,0.0,True,True
2022,13.19647134955805,0.0,0.0,-0.6168149947933788,1.0,,2.5649493574615367,4.0,0.0,True,True
2022,14.371798555807022,0.0,0.0,0.8116200598376241,1.0,,5.552959584921617,39.0,0.0,True,True
2022,13.592367006650065,0.25,0.0625,-0.6168149947933788,1.0,,3.2188758248682006,33.0,0.0,True,True
2022,13.227723893062155,0.5,0.25,1.2877650780479581,0.0,,2.1972245773362196,18.0,0.0,True,True
2022,13.17432311633504,0.0,0.0,-0.6168149947933788,0.0,,2.8903717578961645,17.0,0.0,True,True
2022,14.457364444136669,0.0,0.0,1.2877650780479581,1.0,,3.5553480614894135,32.0,0.0,True,True
2022,13.37082473670283,0.0,0.0,-0.6168149947933788,1.0,,4.762173934797756,27.0,0.0,True,True
2022,13.70218187265727,0.0,0.0,0.8116200598376241,1.0,,4.718498871295094,24.0,0.0,True,True
2022,15.611681947011917,0.4,0.16000000000000003,-0.6168149947933788,0.0,,5.521460917862246,40.0,0.0,True,True
2022,14.103192630416055,0.0,0.0,-0.6168149947933788,1.0,,2.70805020110221,5.0,0.0,True,True
2022,13.981024996441848,0.0,0.0,-0.6168149947933788,1.0,,3.912023005428146,11.0,0.0,True,True
2022,14.44509802256964,0.0,0.0,0.8116200598376241,1.0,,5.176149732573829,24.0,0.0,True,True
2022,14.67734510404237,0.0,0.0,0.8116200598376241,0.0,,4.382026634673881,19.0,0.0,True,True
2022,12.206072645530174,0.0,0.0,-0.6168149947933788,0.0,,4.605170185988092,17.0,0.0,True,True
2022,13.458835614025542,0.0,0.0,-0.6168149947933788,0.0,,2.302585092994046,22.0,0.0,True,True
2022,13.989863945109052,0.0,0.0,-0.6168149947933788,1.0,,3.7376696182833684,15.0,0.0,True,True
2022,16.11809565095832,0.0,0.0,-0.6168149947933788,1.0,,3.5553480614894135,17.0,0.0,True,True
2022,14.437725487656216,0.2,0.04000000000000001,0.8116200598376241,0.0,,4.787491742782046,14.0,0.0,True,True
2022,13.433395698464325,0.0,0.0,-0.6168149947933788,1.0,,3.871201010907891,28.0,0.0,True,True
2022,14.23522238537421,0.8,0.6400000000000001,0.8116200598376241,0.0,,6.511745329644728,6.0,0.0,True,True
2022,13.276514057231587,0.0,0.0,-0.6168149947933788,0.0,,1.791759469228055,4.0,0.0,True,True
2022,13.743189896384647,0.3,0.09,0.8116200598376241,0.0,,3.7612001156935624,30.0,0.0,True,True
2022,13.182987999220764,1.0,1.0,0.8116200598376241,0.0,,2.772588722239781,11.0,0.0,True,True
2022,14.509457418694783,0.0,0.0,-0.6168149947933788,0.0,,2.70805020110221,74.0,0.0,True,True
2022,15.161482712843382,0.4,0.16000000000000003,2.240055114468627,1.0,,5.703782474656201,40.0,0.0,True,True
2022,16.690609196583058,0.0,0.0,2.240055114468627,1.0,,5.123963979403259,14.0,0.0,True,True
2022,16.50725945765517,0.0,0.0,0.8116200598376241,1.0,,4.204692619390966,19.0,0.0,True,True
