wave,state,lnLP,FSTS,FSTSsq,TCI_full,DAI_core,DAI_epay,lnEmp,firmage,foreigndummy,sample_base,sample_full
2025,13,14.980262649136929,0.0,0.0,-0.4720619403338053,0.0,0.7,4.356708826689592,18.0,0.0,True,True
2025,13,15.307165434741991,0.0,0.0,1.2290168329667261,1.0,0.9,5.19295685089021,44.0,0.0,True,True
2025,13,15.712630542850155,0.0,0.0,-0.4720619403338053,1.0,0.6,5.703782474656201,41.0,0.0,True,True
2025,13,16.474770594897052,0.0,0.0,-0.4720619403338053,1.0,0.7,5.3471075307174685,15.0,0.0,True,True
2025,12,14.035025629538763,0.0,0.0,1.2290168329667261,1.0,0.8,3.7376696182833684,21.0,0.0,True,True
2025,16,16.484340045913203,0.0,0.0,-0.4720619403338053,1.0,0.9,5.337538079701318,26.0,0.0,True,True
2025,5,12.75403781624562,0.0,0.0,-0.4720619403338053,1.0,0.4,3.6109179126442243,23.0,0.0,True,True
2025,5,14.655086372257568,0.0,0.0,-0.4720619403338053,0.0,0.65,4.174387269895637,13.0,0.0,True,True
2025,12,13.585794317410478,0.0,0.0,1.2290168329667261,0.0,0.45,2.3978952727983707,23.0,0.0,True,True
2025,23,12.802289286592751,0.1,0.010000000000000002,-0.4720619403338053,1.0,0.35,3.044522437723423,15.0,0.0,True,True
2025,13,14.936101753351158,0.0,0.0,-0.4720619403338053,0.0,0.75,2.70805020110221,8.0,0.0,True,True
2025,13,15.096444403426338,0.0,0.0,-0.4720619403338053,0.0,0.6,4.8283137373023015,12.0,0.0,True,True
2025,13,14.683011125668997,0.0,0.0,-0.4720619403338053,0.0,0.6,4.653960350157523,59.0,0.0,True,True
2025,13,14.73180128983843,0.0,0.0,-0.4720619403338053,1.0,0.6,4.787491742782046,23.0,0.0,True,True
2025,13,15.01948336229021,0.4,0.16000000000000003,-0.4720619403338053,1.0,0.7,5.703782474656201,35.0,0.0,True,True
2025,13,14.73180128983843,0.0,0.0,-0.4720619403338053,1.0,0.7,4.0943445622221,27.0,0.0,True,True
2025,8,15.114793542094535,0.0,0.0,-0.4720619403338053,0.0,0.75,4.0943445622221,22.0,0.0,True,True
2025,13,15.299785327444368,0.0,0.0,-0.4720619403338053,0.0,0.8,5.135798437050262,21.0,0.0,True,True
2025,13,16.11809565095832,0.0,0.0,-0.4720619403338053,1.0,0.7,2.70805020110221,14.0,0.0,True,True
2025,13,15.307165434741991,0.0,0.0,-0.4720619403338053,1.0,0.7,2.8903717578961645,6.0,0.0,True,True
2025,12,13.182987999220764,0.0,0.0,-0.4720619403338053,0.0,0.4,2.0794415416798357,4.0,0.0,True,True
2025,16,15.344905762724839,0.0,0.0,1.2290168329667261,1.0,0.4,4.867534450455582,45.0,0.0,True,True
2025,13,15.250595083253597,0.0,0.0,-0.4720619403338053,1.0,0.4,4.787491742782046,18.0,0.0,True,True
2025,23,15.001478827981801,0.4,0.16000000000000003,4.631174379567789,1.0,0.7,5.940171252720432,20.0,0.0,True,True
2025,5,15.805412276301121,0.0,0.0,2.930095606267258,0.0,0.5,3.295836866004329,33.0,0.0,True,True
2025,8,13.479038321343062,0.0,0.0,-0.4720619403338053,1.0,0.6,3.5553480614894135,15.0,0.0,True,True
2025,12,13.498514097843717,0.0,0.0,-0.4720619403338053,0.0,0.4,2.1972245773362196,23.0,0.0,True,True
2025,5,14.565510550117002,0.0,0.0,-0.4720619403338053,0.0,0.7,3.58351893845611,10.0,0.0,True,True
2025,18,14.765468147308914,0.0,0.0,1.2290168329667261,0.0,0.65,3.4011973816621555,24.0,0.0,True,True
2025,12,14.808765317827923,0.0,0.0,1.2290168329667261,1.0,0.9,5.998936561946683,58.0,0.0,True,True
2025,12,15.016401695752801,0.0,0.0,4.631174379567789,1.0,0.75,5.783825182329737,29.0,0.0,True,True
2025,16,15.712630542850155,0.0,0.0,-0.4720619403338053,1.0,0.9,2.8903717578961645,9.0,0.0,True,True
2025,2,13.725898399274588,0.0,0.0,-0.4720619403338053,0.0,0.5,1.9459101490553132,15.0,0.0,True,True
2025,7,14.390874702867835,0.5,0.25,-0.4720619403338053,1.0,0.6,5.41610040220442,97.0,0.0,True,True
2025,16,13.9208710736221,0.0,0.0,1.2290168329667261,1.0,0.8,6.1092475827643655,36.0,0.0,True,True
2025,10,14.482500417408211,0.0,0.0,1.2290168329667261,1.0,0.6,5.393627546352362,19.0,0.0,True,True
2025,1,14.796339810976,0.0,0.0,-0.4720619403338053,0.0,0.8,2.70805020110221,16.0,0.0,True,True
2025,8,16.580719172906434,0.0,0.0,-0.4720619403338053,1.0,0.45,5.135798437050262,40.0,0.0,True,True
2025,20,15.2624295409006,0.0,0.0,-0.4720619403338053,0.0,0.5,2.0794415416798357,23.0,0.0,True,True
2025,10,15.207582315390754,0.0,0.0,1.2290168329667261,1.0,0.7,5.135798437050262,35.0,0.0,True,True
2025,9,14.28302672102961,0.0,0.0,6.332253152868321,1.0,0.6,4.382026634673881,20.0,1.0,True,True
2025,16,15.096444403426338,0.0,0.0,-0.4720619403338053,1.0,0.5,4.605170185988092,53.0,0.0,True,True
2025,16,15.402475614546315,0.0,0.0,1.2290168329667261,1.0,0.6,5.41610040220442,37.0,0.0,True,True
2025,9,14.528942246132367,0.6,0.36,2.930095606267258,1.0,0.6,5.616771097666572,22.0,0.0,True,True
2025,19,13.322442989119986,0.0,0.0,1.2290168329667261,1.0,0.6,5.703782474656201,12.0,0.0,True,True
2025,5,15.057246136710248,0.0,0.0,1.2290168329667261,1.0,0.7,5.6937321388027,37.0,0.0,True,True
2025,21,15.85573138649083,0.0,0.0,-0.4720619403338053,0.0,0.8,4.174387269895637,23.0,0.0,True,True
2025,11,14.626440774180603,0.0,0.0,1.2290168329667261,1.0,0.65,2.302585092994046,21.0,0.0,True,True
2025,9,14.45723285653203,0.0,0.0,-0.4720619403338053,0.0,0.25,2.0794415416798357,35.0,0.0,True,True
2025,1,14.822906838360723,0.3,0.09,1.2290168329667261,1.0,0.9,5.783825182329737,13.0,1.0,True,True
2025,22,14.978661367769956,0.0,0.0,-0.4720619403338053,1.0,0.85,5.857933154483459,15.0,0.0,True,True
