model,term,b,se,t,p,sig,n,r2,adj_r2,tp,b1,b2,lm_p,shape,tp_raw,tp_se,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M10,foreign_own_pct,0.0172,0.0012,14.632,0.0,***,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,firm_age,0.005,0.0705,0.071,0.9437,,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M10,ln_size,-0.0651,0.0199,-3.265,0.0011,**,8220,0.67,0.6696,31.9,31.5104,-49.3464,0.0,inverted-U,0.319278036584807,1.48,,,,
M11,Intercept,3.2878,0.2287,14.379,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c,-1.2055,0.8161,-1.477,0.1396,,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c2,4.5591,0.449,10.153,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,tci_z,-0.4644,0.0286,-16.252,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,dai_z,0.8721,0.1892,4.61,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,icrv_group,3.522,0.0523,67.293,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c_x_icrv,-0.4274,0.201,-2.126,0.0335,*,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c_x_dai,1.2404,0.8616,1.44,0.15,,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,dai_x_icrv,-0.2776,0.0531,-5.227,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c_x_dai_x_icrv,-0.2818,0.2256,-1.249,0.2115,,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,mgr_experience,0.3779,0.0402,9.407,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,fsts_c_x_mgr,-0.1165,0.1194,-0.976,0.3293,,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,foreign_own_pct,0.019,0.0011,16.858,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,firm_age,0.093,0.0757,1.229,0.2191,,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
M11,ln_size,-0.2136,0.0267,-7.987,0.0,***,8220,0.6364,0.6358,,-1.2055101426813617,4.559105221921991,1.0,U or linear (b2>=0),,,,,,
