study_id,author,year,enrich_status,enrich_doi,corpus_doi,corpus_title,corpus_journal,corpus_year,n_candidates,title_overlap,match_confidence,agrees_enrich
S58,Xiao et al.,2013,author_year_guess,10.3109/13880209.2012.761243,10.1016/j.intman.2012.12.003,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,Journal of International Management,2013,5,0.0,candidate_multi,no
S59,De Jong & van Houten,2014,author_year_guess,10.1038/nprot.2013.084,10.1108/ijchm-09-2012-0173,A synergy effect of internationalization and firm size on performance,International Journal of Contemporary Hospitality Management,2013,37,0.0,candidate_multi,no
S60,Hilmersson,2014,title_match,10.1177/0266242613497744,,,,,0,,no_corpus_match,no
S61,Graves & Shan,2014,title_match,10.1177/0894486513491588,,,,,0,,no_corpus_match,no
S62,Lee et al.,2014,author_year_guess,10.1007/s10894-014-9683-8,10.1108/ijchm-09-2012-0173,A synergy effect of internationalization and firm size on performance,International Journal of Contemporary Hospitality Management,2013,5,0.75,confirmed_title,no
S63,Zhou & Wu,2014,title_corrected,10.1016/j.jwb.2013.10.001,10.1509/jim.13.0131,Entrepreneurial Strategic Posture and Performance in Foreign Markets: The Critical Role of International Learning Effort,Journal of International Marketing,2014,1,0.31,candidate_unique,no
S64,Nguyen & Rugman,2015,author_year_guess,10.9734/ijpss/2015/18573,10.1017/mor.2016.13,Rethinking the Literature on the Performance of Chinese Multinational Enterprises,Management and Organization Review,2016,1,0.0,candidate_unique,no
S65,Ren et al.,2015,author_year_guess,10.1007/s12275-015-5046-z,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,PLoS ONE,2016,7,0.0,candidate_multi,no
S66,Chen et al.,2015,author_year_guess,10.1016/j.ijrefrig.2014.09.008,10.1016/j.jclepro.2015.12.105,The linkages between internationalization and environmental strategies of multinational construction firms,Journal of Cleaner Production,2016,9,0.0,candidate_multi,no
S67,Da Huo & Hung,2015,author_year_guess,10.1590/0102-311x00133213,10.17230/ad-minister.29.1,Internationalization and firm performance in Chindia: a meta-analytic review,AD-minister,2016,36,0.0,candidate_multi,no
S68,Benito-Osorio et al.,2015,doi_mismatch_check,10.1016/j.ibusrev.2015.03.003,,,,,0,,no_corpus_match,no
S69,Altaf & Shah,2016,author_year_guess,10.18632/oncotarget.6961,10.1016/j.psrb.2016.05.002,Internationalization and firm performance of Indian firms: Does product diversity matter?,Pacific Science Review B Humanities and Social Sciences,2015,1,0.3,candidate_unique,no
S70,Assaf et al.,2016,doi_mismatch_check,10.1016/j.annals.2015.12.008,,,,,0,,no_corpus_match,no
