"term","estimate","se","t_stat","p_val","model","n_obs","r_sq","adj_r_sq"
"factor(isic_sector)6",-0.668176661770622,0.35249982675585,-1.8955375607416,0.0580292041723154,"M8",36137,0.696958,0.696505
"factor(isic_sector)7",0.437936588017546,0.456681462588676,0.958954159284512,0.337588264449274,"M8",36137,0.696958,0.696505
"factor(isic_sector)8",-0.103123071150441,0.291057258719412,-0.354305099979845,0.723112316554371,"M8",36137,0.696958,0.696505
"factor(year)2010",0.265678095456483,0.177281850439896,1.49861982372841,0.133981035323685,"M8",36137,0.696958,0.696505
"factor(year)2011",-0.792385900648037,0.158763773292499,-4.99097422677265,6.03547368591723e-07,"M8",36137,0.696958,0.696505
"factor(year)2013",1.23445687443528,0.0681579611643148,18.111704830185,5.43037275552284e-73,"M8",36137,0.696958,0.696505
"factor(year)2014",-1.17487657138346,0.227299608335446,-5.16884556021579,2.36798030091822e-07,"M8",36137,0.696958,0.696505
"factor(year)2015",0.359288167822522,0.0318169049416657,11.29236701311,1.60437899074647e-29,"M8",36137,0.696958,0.696505
"factor(year)2016",-0.499612860953541,0.240185955857099,-2.08010855243672,0.037522617618314,"M8",36137,0.696958,0.696505
"factor(year)2018",-0.666648799239524,0.266893429612015,-2.49780895771259,0.0125007682248577,"M8",36137,0.696958,0.696505
"factor(year)2019",1.58810988340174,0.0625740027678219,25.3797074368784,7.30264635012513e-141,"M8",36137,0.696958,0.696505
"factor(year)2020",1.56964266702367,0.194427335061003,8.0731583680411,7.06095662679302e-16,"M8",36137,0.696958,0.696505
"factor(country)Armenia",0.232266925568102,0.211905285555253,1.09608840081311,0.273047405792093,"M8",36137,0.696958,0.696505
"factor(country)Bangladesh",-2.06449699365284,0.131617462673677,-15.6855857248321,2.89139820692143e-55,"M8",36137,0.696958,0.696505
"factor(country)Bhutan",-0.832181375042451,0.18292825407397,-4.5492227499528,5.40196029633034e-06,"M8",36137,0.696958,0.696505
"factor(country)Cambodia",4.18653442024399,0.216918291200062,19.3000525547326,1.40117944602241e-82,"M8",36137,0.696958,0.696505
"factor(country)Cyprus",-4.46160207110294,0.145369462304071,-30.6914671099942,3.15561938594694e-204,"M8",36137,0.696958,0.696505
"factor(country)Georgia",-4.98344767541548,0.143138653470711,-34.8155271450504,3.03902753184961e-261,"M8",36137,0.696958,0.696505
"factor(country)India",1.01556467022943,0.17706643453112,5.73550076229125,9.80000190450590e-09,"M8",36137,0.696958,0.696505
"factor(country)Indonesia",3.79738027303347,0.149860087004397,25.3395039929615,1.99151206793338e-140,"M8",36137,0.696958,0.696505
"factor(country)Iraq",4.91800788211747,0.0835938805774152,58.8321519248406,0,"M8",36137,0.696958,0.696505
"factor(country)Israel",-1.95915541502355,0.135291171010276,-14.4810293265533,2.1693940286573e-47,"M8",36137,0.696958,0.696505
"factor(country)Jordan",-5.1777632077945,0.139435105964224,-37.133856441598,3.09345534958243e-296,"M8",36137,0.696958,0.696505
"factor(country)Kazakhstan",-0.203986668775971,0.13473762921967,-1.513954713003,0.130046084880432,"M8",36137,0.696958,0.696505
"factor(country)KyrgyzRepublic",-1.99579790794253,0.146137303266556,-13.657005181642,2.33758228061153e-42,"M8",36137,0.696958,0.696505
"factor(country)Laos",5.01302124090839,0.2055190479219,24.3920030362023,2.37178808251649e-130,"M8",36137,0.696958,0.696505
"factor(country)Lebanon",2.77383415453773,0.137535555317724,20.1681241489143,5.85381865635118e-90,"M8",36137,0.696958,0.696505
"factor(country)Malaysia",-4.0864292068026,0.16473066713127,-24.8067301490755,1.02400433258509e-134,"M8",36137,0.696958,0.696505
"factor(country)Mongolia",1.64434339870983,0.138054201165067,11.9108537431884,1.19647084741797e-32,"M8",36137,0.696958,0.696505
"factor(country)Mongolia_panel",1.64434339870984,0.134485213170582,12.2269456986632,2.60978110481404e-34,"M8",36137,0.696958,0.696505
"factor(country)Myanmar",2.79469148739335,0.187250155610644,14.9249087579102,3.20590852364255e-50,"M8",36137,0.696958,0.696505
"factor(country)Pakistan",-1.57297295713993,0.157929695709609,-9.95995686607419,2.44564641568664e-23,"M8",36137,0.696958,0.696505
"factor(country)PapuaNewGuinea",-2.40186234151841,0.20320505702457,-11.8198945276642,3.53239991963042e-32,"M8",36137,0.696958,0.696505
"factor(country)Philippines",-0.447560277755383,0.146893985141005,-3.04682507813893,0.00231439299475965,"M8",36137,0.696958,0.696505
"factor(country)Philippines_panel",-0.44756027775538,0.146893985141001,-3.046825078139,0.00231439299475916,"M8",36137,0.696958,0.696505
"factor(country)Tajikistan",-5.09071602884157,0.160833407373534,-31.6521058154195,6.64226810292514e-217,"M8",36137,0.696958,0.696505
"factor(country)Thailand",0.0692089847414561,0.203912667884136,0.339405027944517,0.734306606745912,"M8",36137,0.696958,0.696505
"factor(country)TimorLeste",-5.59351270289451,0.177203060616514,-31.5655535713317,9.54128596051848e-216,"M8",36137,0.696958,0.696505
"factor(country)Uzbekistan",1.87261678554462,0.142271833852993,13.1622453638966,1.78481028764155e-39,"M8",36137,0.696958,0.696505
"factor(country)Vietnam",5.38768365926225,0.149526323365332,36.0316734739656,2.44223768918175e-279,"M8",36137,0.696958,0.696505
