sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
VNM2009,M8,DAI_z,0.1772,0.0856,0.0384,0.0095,0.3449,989,0.1649
VNM2009,M8,FSTSc_DAIz,-0.0927,0.4013,0.8173,-0.8793,0.6938,989,0.1649
VNM2009,M8,FSTSc2_DAIz,-0.0194,0.6605,0.9766,-1.314,1.2752,989,0.1649
VNM2009,M8,lnEmp,-0.1807,0.0366,0.0,-0.2525,-0.1089,989,0.1649
VNM2009,M8,FirmAge,0.0068,0.0034,0.0487,0.0,0.0136,989,0.1649
VNM2009,M8,ForeignOwned,0.4515,0.1239,0.0003,0.2087,0.6943,989,0.1649
VNM2015,M0,lnEmp,-0.0325,0.0339,0.3381,-0.099,0.034,956,0.0523
VNM2015,M0,FirmAge,0.0039,0.0051,0.4398,-0.006,0.0139,956,0.0523
VNM2015,M0,ForeignOwned,0.2237,0.1564,0.1526,-0.0828,0.5302,956,0.0523
VNM2015,M1,FSTSc,-0.2393,0.169,0.1567,-0.5706,0.0919,956,0.054
VNM2015,M1,lnEmp,-0.0171,0.0358,0.6335,-0.0873,0.0531,956,0.054
VNM2015,M1,FirmAge,0.0034,0.0052,0.5102,-0.0067,0.0135,956,0.054
VNM2015,M1,ForeignOwned,0.2589,0.1539,0.0925,-0.0427,0.5606,956,0.054
VNM2015,M2,FSTSc,1.1587,0.531,0.0291,0.118,2.1993,956,0.0606
VNM2015,M2,FSTSc2,-2.115,0.7353,0.004,-3.5561,-0.6739,956,0.0606
VNM2015,M2,lnEmp,-0.027,0.036,0.4542,-0.0976,0.0437,956,0.0606
VNM2015,M2,FirmAge,0.0022,0.0049,0.6539,-0.0075,0.0119,956,0.0606
VNM2015,M2,ForeignOwned,0.2284,0.1551,0.141,-0.0757,0.5325,956,0.0606
VNM2015,M3,FSTSc,1.0532,0.5793,0.0691,-0.0823,2.1887,956,0.066
VNM2015,M3,FSTSc2,-1.914,0.8064,0.0176,-3.4944,-0.3335,956,0.066
VNM2015,M3,TCI_z,0.1299,0.0626,0.0379,0.0072,0.2525,956,0.066
VNM2015,M3,FSTSc_TCIz,-0.0604,0.4038,0.8811,-0.8519,0.7311,956,0.066
VNM2015,M3,FSTSc2_TCIz,-0.0713,0.5769,0.9016,-1.2021,1.0594,956,0.066
VNM2015,M3,lnEmp,-0.0568,0.0379,0.1337,-0.1311,0.0174,956,0.066
VNM2015,M3,FirmAge,0.0016,0.0049,0.7494,-0.008,0.0111,956,0.066
VNM2015,M3,ForeignOwned,0.1684,0.1513,0.2655,-0.128,0.4649,956,0.066
VNM2015,M4,FSTSc,1.2974,0.6497,0.0458,0.024,2.5708,956,0.0637
VNM2015,M4,FSTSc2,-2.2715,0.8863,0.0104,-4.0086,-0.5343,956,0.0637
VNM2015,M4,DAI_z,-0.0133,0.0922,0.8857,-0.1939,0.1674,956,0.0637
VNM2015,M4,FSTSc_DAIz,-0.2244,0.6404,0.726,-1.4797,1.0308,956,0.0637
VNM2015,M4,FSTSc2_DAIz,-0.0957,0.8838,0.9138,-1.8279,1.6365,956,0.0637
VNM2015,M4,lnEmp,-0.0182,0.0367,0.6194,-0.0902,0.0537,956,0.0637
VNM2015,M4,FirmAge,0.0021,0.0049,0.6614,-0.0074,0.0117,956,0.0637
VNM2015,M4,ForeignOwned,0.1968,0.1574,0.2111,-0.1117,0.5053,956,0.0637
VNM2015,M5,FSTSc,1.0499,0.5297,0.0475,0.0116,2.0881,956,0.0655
VNM2015,M5,FSTSc2,-1.9682,0.7333,0.0073,-3.4056,-0.5309,956,0.0655
VNM2015,M5,TCI_z,0.117,0.0482,0.0153,0.0225,0.2115,956,0.0655
VNM2015,M5,lnEmp,-0.0546,0.0376,0.1458,-0.1283,0.019,956,0.0655
VNM2015,M5,FirmAge,0.0015,0.0048,0.7646,-0.008,0.011,956,0.0655
VNM2015,M5,ForeignOwned,0.1602,0.1527,0.2941,-0.1391,0.4594,956,0.0655
VNM2015,M6,FSTSc,1.1801,0.5373,0.0281,0.127,2.2332,956,0.0607
VNM2015,M6,FSTSc2,-2.1464,0.7459,0.004,-3.6084,-0.6844,956,0.0607
VNM2015,M6,DAI_z,-0.0178,0.0489,0.7154,-0.1136,0.0779,956,0.0607
VNM2015,M6,lnEmp,-0.0228,0.0367,0.5347,-0.0948,0.0492,956,0.0607
VNM2015,M6,FirmAge,0.0023,0.0049,0.6453,-0.0074,0.0119,956,0.0607
VNM2015,M6,ForeignOwned,0.2237,0.1556,0.1506,-0.0813,0.5287,956,0.0607
VNM2015,M7,FSTSc,1.0935,0.5326,0.0401,0.0495,2.1374,956,0.0662
VNM2015,M7,FSTSc2,-2.0333,0.7381,0.0059,-3.4799,-0.5867,956,0.0662
VNM2015,M7,TCI_z,0.1275,0.0496,0.0101,0.0303,0.2246,956,0.0662
VNM2015,M7,DAI_z,-0.0443,0.0501,0.3769,-0.1426,0.054,956,0.0662
VNM2015,M7,lnEmp,-0.0467,0.0378,0.2159,-0.1208,0.0273,956,0.0662
VNM2015,M7,FirmAge,0.0015,0.0048,0.752,-0.0079,0.0109,956,0.0662
VNM2015,M7,ForeignOwned,0.1424,0.1538,0.3542,-0.1589,0.4438,956,0.0662
VNM2015,M8,FSTSc,1.2409,0.6415,0.0531,-0.0165,2.4982,956,0.0696
VNM2015,M8,FSTSc2,-2.1984,0.8741,0.0119,-3.9116,-0.4851,956,0.0696
VNM2015,M8,TCI_z,0.1318,0.0493,0.0075,0.0352,0.2283,956,0.0696
VNM2015,M8,DAI_z,-0.0481,0.0923,0.602,-0.229,0.1328,956,0.0696
VNM2015,M8,FSTSc_DAIz,-0.2997,0.6311,0.6349,-1.5367,0.9373,956,0.0696
VNM2015,M8,FSTSc2_DAIz,-0.0091,0.871,0.9917,-1.7162,1.6981,956,0.0696
VNM2015,M8,lnEmp,-0.0426,0.0378,0.2594,-0.1166,0.0314,956,0.0696
VNM2015,M8,FirmAge,0.0013,0.0047,0.7779,-0.0079,0.0106,956,0.0696
VNM2015,M8,ForeignOwned,0.1111,0.1554,0.4746,-0.1935,0.4158,956,0.0696
VNM2023,M0,lnEmp,0.0889,0.0345,0.01,0.0213,0.1565,1013,0.1402
VNM2023,M0,FirmAge,0.0091,0.0061,0.1356,-0.0028,0.021,1013,0.1402
VNM2023,M0,ForeignOwned,0.2389,0.1172,0.0415,0.0091,0.4687,1013,0.1402
VNM2023,M1,FSTSc,-0.1808,0.1519,0.2339,-0.4785,0.1169,1013,0.1412
VNM2023,M1,lnEmp,0.1006,0.0361,0.0053,0.0298,0.1713,1013,0.1412
VNM2023,M1,FirmAge,0.0087,0.0061,0.1513,-0.0032,0.0207,1013,0.1412
VNM2023,M1,ForeignOwned,0.2676,0.1196,0.0253,0.0332,0.5021,1013,0.1412
VNM2023,M2,FSTSc,0.9622,0.4664,0.0391,0.0481,1.8763,1013,0.144
VNM2023,M2,FSTSc2,-1.6862,0.6338,0.0078,-2.9284,-0.444,1013,0.144
VNM2023,M2,lnEmp,0.0938,0.0363,0.0097,0.0227,0.1649,1013,0.144
VNM2023,M2,FirmAge,0.0083,0.006,0.1692,-0.0035,0.0202,1013,0.144
VNM2023,M2,ForeignOwned,0.2787,0.1187,0.0189,0.0461,0.5114,1013,0.144
VNM2023,M3,FSTSc,1.0429,0.5869,0.0756,-0.1075,2.1933,1013,0.1549
VNM2023,M3,FSTSc2,-1.6612,0.7968,0.0371,-3.2228,-0.0995,1013,0.1549
VNM2023,M3,TCI_z,0.1468,0.0543,0.0069,0.0404,0.2533,1013,0.1549
VNM2023,M3,FSTSc_TCIz,-0.5343,0.3261,0.1013,-1.1735,0.1048,1013,0.1549
VNM2023,M3,FSTSc2_TCIz,0.4113,0.4509,0.3618,-0.4726,1.2951,1013,0.1549
VNM2023,M3,lnEmp,0.0635,0.0366,0.0828,-0.0082,0.1352,1013,0.1549
VNM2023,M3,FirmAge,0.0084,0.0061,0.1632,-0.0034,0.0203,1013,0.1549
VNM2023,M3,ForeignOwned,0.2011,0.1183,0.0891,-0.0307,0.4328,1013,0.1549
VNM2023,M4,FSTSc,1.2325,0.4901,0.0119,0.2719,2.1932,1013,0.1513
VNM2023,M4,FSTSc2,-2.0027,0.663,0.0025,-3.3021,-0.7033,1013,0.1513
VNM2023,M4,DAI_z,0.0181,0.0736,0.8052,-0.1261,0.1623,1013,0.1513
VNM2023,M4,FSTSc_DAIz,-0.8191,0.4553,0.072,-1.7116,0.0733,1013,0.1513
VNM2023,M4,FSTSc2_DAIz,0.93,0.6413,0.147,-0.3268,2.1869,1013,0.1513
VNM2023,M4,lnEmp,0.0715,0.0374,0.0563,-0.0019,0.1448,1013,0.1513
VNM2023,M4,FirmAge,0.0079,0.0061,0.1973,-0.0041,0.0198,1013,0.1513
VNM2023,M4,ForeignOwned,0.2733,0.1196,0.0223,0.0389,0.5078,1013,0.1513
VNM2023,M5,FSTSc,0.7125,0.4781,0.1362,-0.2246,1.6495,1013,0.1504
VNM2023,M5,FSTSc2,-1.3532,0.6485,0.0369,-2.6242,-0.0821,1013,0.1504
VNM2023,M5,TCI_z,0.1396,0.0449,0.0019,0.0516,0.2276,1013,0.1504
VNM2023,M5,lnEmp,0.0706,0.0365,0.0531,-0.0009,0.1421,1013,0.1504
VNM2023,M5,FirmAge,0.0079,0.006,0.1916,-0.0039,0.0196,1013,0.1504
VNM2023,M5,ForeignOwned,0.2001,0.1188,0.0922,-0.0328,0.4329,1013,0.1504
VNM2023,M6,FSTSc,0.818,0.4697,0.0816,-0.1026,1.7386,1013,0.1492
VNM2023,M6,FSTSc2,-1.4643,0.6417,0.0225,-2.7221,-0.2066,1013,0.1492
VNM2023,M6,DAI_z,0.1123,0.046,0.0145,0.0222,0.2024,1013,0.1492
VNM2023,M6,lnEmp,0.0722,0.0375,0.0542,-0.0013,0.1456,1013,0.1492
VNM2023,M6,FirmAge,0.0079,0.0061,0.1935,-0.004,0.0198,1013,0.1492
VNM2023,M6,ForeignOwned,0.288,0.1195,0.0159,0.0538,0.5223,1013,0.1492
VNM2023,M7,FSTSc,0.6199,0.4799,0.1965,-0.3208,1.5605,1013,0.154
VNM2023,M7,FSTSc2,-1.2045,0.6528,0.065,-2.4839,0.0749,1013,0.154
VNM2023,M7,TCI_z,0.123,0.045,0.0062,0.0349,0.2112,1013,0.154
VNM2023,M7,DAI_z,0.0953,0.046,0.0384,0.0051,0.1854,1013,0.154
VNM2023,M7,lnEmp,0.055,0.0376,0.1434,-0.0187,0.1287,1013,0.154
VNM2023,M7,FirmAge,0.0076,0.006,0.211,-0.0043,0.0194,1013,0.154
VNM2023,M7,ForeignOwned,0.2173,0.1196,0.0693,-0.0172,0.4518,1013,0.154
VNM2023,M8,FSTSc,1.0723,0.4928,0.0296,0.1064,2.0382,1013,0.1566
VNM2023,M8,FSTSc2,-1.7933,0.6657,0.0071,-3.0982,-0.4885,1013,0.1566
VNM2023,M8,TCI_z,0.1286,0.0451,0.0043,0.0402,0.217,1013,0.1566
VNM2023,M8,DAI_z,-0.0111,0.073,0.8796,-0.1542,0.1321,1013,0.1566
VNM2023,M8,FSTSc_DAIz,-0.9121,0.4503,0.0428,-1.7947,-0.0294,1013,0.1566
VNM2023,M8,FSTSc2_DAIz,1.0428,0.633,0.0995,-0.1979,2.2835,1013,0.1566
VNM2023,M8,lnEmp,0.0534,0.0375,0.1545,-0.0201,0.127,1013,0.1566
VNM2023,M8,FirmAge,0.0075,0.0061,0.216,-0.0044,0.0194,1013,0.1566
VNM2023,M8,ForeignOwned,0.1978,0.1201,0.0994,-0.0375,0.4332,1013,0.1566
VNMpooled,M0,lnEmp,-0.0279,0.0197,0.1558,-0.0665,0.0106,2958,0.148
VNMpooled,M0,FirmAge,0.0107,0.0027,0.0001,0.0055,0.0159,2958,0.148
VNMpooled,M0,ForeignOwned,0.3281,0.0794,0.0,0.1725,0.4837,2958,0.148
VNMpooled,M1,FSTSc,-0.2505,0.0968,0.0097,-0.4402,-0.0608,2958,0.15
VNMpooled,M1,lnEmp,-0.0101,0.0211,0.6321,-0.0515,0.0313,2958,0.15
VNMpooled,M1,FirmAge,0.0101,0.0027,0.0002,0.0048,0.0153,2958,0.15
VNMpooled,M1,ForeignOwned,0.3713,0.0808,0.0,0.2128,0.5297,2958,0.15
VNMpooled,M2,FSTSc,0.9843,0.2842,0.0005,0.4273,1.5414,2958,0.1549
VNMpooled,M2,FSTSc2,-1.9091,0.4073,0.0,-2.7074,-1.1107,2958,0.1549
VNMpooled,M2,lnEmp,-0.0176,0.0211,0.406,-0.059,0.0238,2958,0.1549
VNMpooled,M2,FirmAge,0.0092,0.0026,0.0005,0.004,0.0143,2958,0.1549
VNMpooled,M2,ForeignOwned,0.3624,0.0804,0.0,0.2049,0.52,2958,0.1549
VNMpooled,M3,FSTSc,1.0026,0.3101,0.0012,0.3948,1.6105,2958,0.1706
VNMpooled,M3,FSTSc2,-1.862,0.4482,0.0,-2.7405,-0.9835,2958,0.1706
VNMpooled,M3,TCI_z,0.1575,0.0377,0.0,0.0836,0.2314,2958,0.1706
VNMpooled,M3,FSTSc_TCIz,-0.5731,0.1993,0.004,-0.9637,-0.1825,2958,0.1706
VNMpooled,M3,FSTSc2_TCIz,0.6269,0.2964,0.0344,0.0459,1.2079,2958,0.1706
VNMpooled,M3,lnEmp,-0.0622,0.0218,0.0043,-0.1049,-0.0196,2958,0.1706
VNMpooled,M3,FirmAge,0.0078,0.0026,0.0027,0.0027,0.0129,2958,0.1706
VNMpooled,M3,ForeignOwned,0.2776,0.0785,0.0004,0.1238,0.4315,2958,0.1706
VNMpooled,M4,FSTSc,0.9779,0.3091,0.0016,0.3722,1.5837,2958,0.1607
VNMpooled,M4,FSTSc2,-1.8625,0.445,0.0,-2.7347,-0.9903,2958,0.1607
VNMpooled,M4,DAI_z,0.0792,0.0508,0.1194,-0.0205,0.1789,2958,0.1607
VNMpooled,M4,FSTSc_DAIz,-0.3368,0.2866,0.2399,-0.8986,0.2249,2958,0.1607
VNMpooled,M4,FSTSc2_DAIz,0.3303,0.4266,0.4388,-0.5059,1.1665,2958,0.1607
VNMpooled,M4,lnEmp,-0.0407,0.0218,0.0615,-0.0834,0.002,2958,0.1607
VNMpooled,M4,FirmAge,0.0085,0.0026,0.0013,0.0033,0.0137,2958,0.1607
VNMpooled,M4,ForeignOwned,0.3691,0.0797,0.0,0.2128,0.5254,2958,0.1607
VNMpooled,M5,FSTSc,0.7603,0.2849,0.0076,0.2019,1.3187,2958,0.1681
VNMpooled,M5,FSTSc2,-1.5587,0.4082,0.0001,-2.3588,-0.7586,2958,0.1681
VNMpooled,M5,TCI_z,0.1963,0.0277,0.0,0.1421,0.2505,2958,0.1681
VNMpooled,M5,lnEmp,-0.0591,0.0217,0.0064,-0.1016,-0.0166,2958,0.1681
VNMpooled,M5,FirmAge,0.0075,0.0026,0.0036,0.0025,0.0126,2958,0.1681
VNMpooled,M5,ForeignOwned,0.2666,0.0789,0.0007,0.112,0.4212,2958,0.1681
VNMpooled,M6,FSTSc,0.8627,0.285,0.0025,0.3041,1.4212,2958,0.1599
VNMpooled,M6,FSTSc2,-1.711,0.4102,0.0,-2.515,-0.9071,2958,0.1599
VNMpooled,M6,DAI_z,0.1122,0.0268,0.0,0.0597,0.1647,2958,0.1599
VNMpooled,M6,lnEmp,-0.041,0.0218,0.0597,-0.0836,0.0017,2958,0.1599
VNMpooled,M6,FirmAge,0.0085,0.0027,0.0014,0.0033,0.0137,2958,0.1599
VNMpooled,M6,ForeignOwned,0.3741,0.0796,0.0,0.2181,0.53,2958,0.1599
VNMpooled,M7,FSTSc,0.6951,0.2853,0.0149,0.1358,1.2543,2958,0.1705
VNMpooled,M7,FSTSc2,-1.4513,0.4101,0.0004,-2.2551,-0.6474,2958,0.1705
VNMpooled,M7,TCI_z,0.1792,0.028,0.0,0.1242,0.2341,2958,0.1705
VNMpooled,M7,DAI_z,0.0782,0.027,0.0037,0.0253,0.1311,2958,0.1705
VNMpooled,M7,lnEmp,-0.0718,0.0221,0.0012,-0.1151,-0.0285,2958,0.1705
VNMpooled,M7,FirmAge,0.0072,0.0026,0.0057,0.0021,0.0123,2958,0.1705
VNMpooled,M7,ForeignOwned,0.2831,0.0787,0.0003,0.1288,0.4373,2958,0.1705
VNMpooled,M8,FSTSc,0.845,0.3077,0.006,0.2418,1.4481,2958,0.1717
VNMpooled,M8,FSTSc2,-1.6497,0.4424,0.0002,-2.5168,-0.7826,2958,0.1717
VNMpooled,M8,TCI_z,0.1835,0.0281,0.0,0.1284,0.2385,2958,0.1717
VNMpooled,M8,DAI_z,0.0315,0.051,0.5365,-0.0684,0.1315,2958,0.1717
VNMpooled,M8,FSTSc_DAIz,-0.4479,0.2847,0.1157,-1.0059,0.1102,2958,0.1717
VNMpooled,M8,FSTSc2_DAIz,0.4599,0.4223,0.2762,-0.3678,1.2876,2958,0.1717
VNMpooled,M8,lnEmp,-0.0722,0.0221,0.0011,-0.1155,-0.0289,2958,0.1717
VNMpooled,M8,FirmAge,0.0072,0.0026,0.0053,0.0021,0.0123,2958,0.1717
VNMpooled,M8,ForeignOwned,0.2749,0.0789,0.0005,0.1203,0.4296,2958,0.1717
