study_id,wos_id,authors,year,title,journal,doi,screen_l1,screen_l1_reason
S0576,000409794900002,"De Noni, Ivan; Apa, Roberta",2015,The moderating effect of exploitative and exploratory learning on internationalisation-performance relationship in SMEs,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,Y,ip_perf_match
S0577,000355985100015,"Kim, Young Gui; Suh, Jeongmeen",2015,What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,ASIAN ECONOMIC PAPERS,,Y,ip_perf_match
S0578,000355033700024,"Moral-Pajares, Encarnacion; Mozas-Moral, Adoracion; Bernal-Jurado, Enrique; Jesus Medina-Viruel, Miguel",2015,Efficiency and exports: Evidence from Southern European companies,JOURNAL OF BUSINESS RESEARCH,,Y,ip_perf_match
S0579,000357989600003,"Sala, Davide; Yalcin, Erdal",2015,Export Experience of Managers and the Internationalisation of Firms,WORLD ECONOMY,,Y,ip_firm_match
S0582,000356209100011,"Sanfilippo, Marco",2015,FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S0584,000356354400002,"Aguilera-Caracuel, Javier; Guerrero-Villegas, Jaime; Dolores Vidal-Salazar, Maria; Delgado-Marquez, Blanca L.",2015,International Cultural Diversification and Corporate Social Performance in Multinational Enterprises: The Role of Slack Financial Resources,MANAGEMENT INTERNATIONAL REVIEW,,Y,ip_perf_match
S0586,000357341700002,"Cieslik, Andrzej; Michalek, Anna; Michalek, Jan Jakub; Mycielski, Jerzy",2015,Determinants of Export Performance: Comparison of Central European and Baltic Firms,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,,Y,ip_perf_match
S0587,000357542500010,"Huo, Da; Hung, Ken",2015,INTERNATIONALIZATION STRATEGY AND FIRM PERFORMANCE: ESTIMATION OF CORPORATE STRATEGY EFFECT BASED ON BIG DATA OF CHINESE IT COMPANIES IN A COMPLEX NETWORK,ROMANIAN JOURNAL OF ECONOMIC FORECASTING,,Y,ip_perf_match
S0592,000358684500006,"Schmid, Stefan; Wurster, Dennis J.",2015,Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,Y,ip_firm_match
S0593,000356281100005,"Buchelt, Beata",2015,Performance management in Polish companies internationalizing their market activities,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,,Y,ip_perf_match
S0594,000363902900003,"Debrulle, Jonas; Maes, Johan",2015,"Start-ups' Internationalization: The Impact of Business Owners' Management Experience, Start-up Experience and Professional Network on Export Intensity",EUROPEAN MANAGEMENT REVIEW,,Y,ip_firm_match
S0595,000362835200004,"Lu, Cheng-Chang; Kuan, Tsung-Han; Liu, Chwen-Chi",2015,Effects of Location Diversification and Corporate Governance on Multinational Enterprises' Financial Performance and Risk-taking: Evidence from Taiwanese Enterprises,CHINA & WORLD ECONOMY,,Y,ip_perf_match
S0601,000362613500020,"Heidenreich, Stefan; Mohr, Alexander; Puck, Jonas",2015,"Political strategies, entrepreneurial overconfidence and foreign direct investment in developing countries",JOURNAL OF WORLD BUSINESS,,Y,ip_firm_match
S0604,000359957200005,"Cieslik, Jerzy; Kaciak, Eugene; Thongpapanl, Narongsak (Tek)",2015,Effect of export experience and market scope strategy on export performance: Evidence from Poland,INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S0607,000363536100001,"Falk, Martin; Hagsten, Eva",2015,Export Behaviour of Micro Firms in the Swedish Computer and Business Service Industries,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,,Y,ip_firm_match
S0611,000362089900004,"Marques, Helena",2015,DOES THE GENDER OF TOP MANAGERS AND OWNERS MATTER FOR FIRM EXPORTS?,FEMINIST ECONOMICS,,Y,ip_firm_match
S0614,000363043500003,"Masso, Jaan; Roigas, Kaert; Vahter, Priit",2015,"Foreign market experience, learning by hiring and firm export performance",REVIEW OF WORLD ECONOMICS,,Y,ip_perf_match
S0615,000363354700012,"Buigues, Pierre-Andre; Lacoste, Denis; Lavigne, Stephanie",2015,When over internationalized companies reduce their international footprint,INTERNATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S0616,000364026400008,"Gkypali, Areti; Rafailidis, Apostolos; Tsekouras, Kostas",2015,Innovation and export performance: do young and mature innovative firms differ?,EURASIAN BUSINESS REVIEW,,Y,ip_perf_match
S0647,000367526800005,"Lu, Jane Wenzhen; Liang, Xueji; Shan, Mengmeng; Liang, Xiaoya",2015,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,MANAGEMENT AND ORGANIZATION REVIEW,,Y,ip_perf_match
S0669,000369645600014,"Aureli, Selena",2015,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,,Y,ip_perf_match
S0677,000372133000002,"Castiglioni, Marco; Castro, Ignacio; Luis Galan, Jose",2015,THE INTERNATIONALIZATION OF AN ALLIANCE PORTFOLIO AS A SME DEVELOPMENT DRIVER,STRATEGIC ALLIANCES FOR SME DEVELOPMENT,,Y,ip_firm_match
S0435,000409678100002,"Onodi, Annamaria Kazai",2014,Export Performance Clusters of the Hungarian Enterprises: What Factors are Behind the Successful Export Activities?,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,Y,ip_perf_match
S0439,000403086700015,"Lojacono, Gabriella; Venzin, Markus",2014,ORGANIZING EXPORT STRATEGIES,ORCHESTRATION OF THE GLOBAL NETWORK ORGANIZATION,,Y,ip_firm_match
S0440,000409669800002,"Cieslik, Andrzej; Michalek, Jan; Michalek, Anna",2014,"The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States",ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,Y,ip_perf_match
S0442,000212672600001,"Torres, Miguel M.; Clegg, L. Jeremy",2014,"Policy effectiveness and ""misalignment"" with firms' strategies A study of pro-internationalization incentives",MULTINATIONAL BUSINESS REVIEW,,Y,ip_firm_match
S0443,000213170400007,"Yeoh, Poh-Lin",2014,"Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: The Role of Outside CEOs, Technology Sourcing, and Innovation",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,,Y,ip_perf_match
S0445,000218717500004,"Kahiya, Eldrede Tinashe; Dean, David L.",2014,Export performance: multiple predictors and multiple measures approach,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,,Y,ip_perf_match
S0447,000345690400013,"Cainelli, Giulio; Di Maria, Eleonora; Ganau, Roberto",2014,"An explanation of firms' internationalisation modes, blending firm heterogeneity and spatial agglomeration: microevidence from Italy",ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,,Y,ip_firm_match
S0450,000340765500005,"Chen, Yan; Jiang, Yiwei; Wang, Chengqi; Hsu, Wen Chung",2014,How do resources and diversification strategy explain the performance consequences of internationalization?,MANAGEMENT DECISION,,Y,ip_perf_match
S0458,000329275700009,"Ma, Xufei; Yiu, Daphne W.; Zhou, Nan",2014,"Facing global economic crisis: Foreign sales, ownership groups, and corporate value",JOURNAL OF WORLD BUSINESS,,Y,ip_firm_match
S0459,000329140500007,"Mohr, Alex; Fastoso, Fernando; Wang, Chengang; Shirodkar, Vikrant",2014,"Testing the Regional Performance of Multinational Enterprises in the Retail Sector: The Moderating Effects of Timing, Speed and Experience",BRITISH JOURNAL OF MANAGEMENT,,Y,ip_perf_match
S0460,000329140500004,"Oh, Chang Hoon; Contractor, Farok",2014,A Regional Perspective on Multinational Expansion Strategies: Reconsidering the Three-stage Paradigm,BRITISH JOURNAL OF MANAGEMENT,,Y,ip_firm_match
S0462,000332060300005,"Fonfria, Antonio; Duch-Brown, Nestor",2014,Explaining Export Performance in the Spanish Defense Industry,DEFENCE AND PEACE ECONOMICS,,Y,ip_perf_match
S0463,000329509800008,"Diez-Vial, Isabel; Fernandez-Olmos, Marta",2014,How Do Local Knowledge Spillovers and Experience Affect Export Performance?,EUROPEAN PLANNING STUDIES,,Y,ip_perf_match
S0468,000331423400006,"Powell, K. Skylar",2014,From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,Y,ip_perf_match
S0470,000330176300003,"Lodefalk, Magnus",2014,The role of services for manufacturing firm exports,REVIEW OF WORLD ECONOMICS,,Y,ip_firm_match
