id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W3165847155,,,Anisur R. Faroque|Mohammad Osman Gani|Mohammad Omar Faruq|Mohammad Fuad Bin Bashar|Nargis Islam,https://openalex.org/A5011073927|https://openalex.org/A5065626014|https://openalex.org/A5001948899|https://openalex.org/A5068727082|https://openalex.org/A5050342610,https://orcid.org/0000-0002-9369-400X|https://orcid.org/0000-0002-9724-4006|https://orcid.org/0000-0002-4901-2753||https://orcid.org/0000-0002-8485-442X,BD|FI|JP|BD|FI|JP|BD|FI|JP|BD|FI|JP|BD|FI|JP,Bangladesh University of Professionals|Lappeenranta-Lahti University of Technology|Jagannath University|Hiroshima International University|Hiroshima University|Islamic University|Jagannath University|Lappeenranta-Lahti University of Technology|Islamic University|Hiroshima University|Bangladesh University of Professionals|Hiroshima International University|Hiroshima International University|Lappeenranta-Lahti University of Technology|Hiroshima University|Jagannath University|Islamic University|Bangladesh University of Professionals|Jagannath University|Bangladesh University of Professionals|Hiroshima International University|Islamic University|Hiroshima University|Lappeenranta-Lahti University of Technology|Bangladesh University of Professionals|Hiroshima International University|Jagannath University|Hiroshima University|Lappeenranta-Lahti University of Technology|Islamic University,https://openalex.org/I96426537|https://openalex.org/I63548447|https://openalex.org/I4210125938|https://openalex.org/I4210131401|https://openalex.org/I113306721|https://openalex.org/I40279923|https://openalex.org/I4210125938|https://openalex.org/I63548447|https://openalex.org/I40279923|https://openalex.org/I113306721|https://openalex.org/I96426537|https://openalex.org/I4210131401|https://openalex.org/I4210131401|https://openalex.org/I63548447|https://openalex.org/I113306721|https://openalex.org/I4210125938|https://openalex.org/I40279923|https://openalex.org/I96426537|https://openalex.org/I4210125938|https://openalex.org/I96426537|https://openalex.org/I4210131401|https://openalex.org/I40279923|https://openalex.org/I113306721|https://openalex.org/I63548447|https://openalex.org/I96426537|https://openalex.org/I4210131401|https://openalex.org/I4210125938|https://openalex.org/I113306721|https://openalex.org/I63548447|https://openalex.org/I40279923,True|False|False|False|False,,0.80751518,2,https://openalex.org/I113306721|https://openalex.org/I40279923|https://openalex.org/I4210125938|https://openalex.org/I4210131401|https://openalex.org/I63548447|https://openalex.org/I96426537,The role of market knowledge and institutional networks in improving the export performance of apparel manufacturers in a developing country,https://doi.org/10.4337/9781789907650.00011,,1.4677,,False,en,False,closed,Edward Elgar Publishing eBooks,https://openalex.org/P4310320353,Edward Elgar Publishing,https://openalex.org/S4306463223,,ebook platform,International Business and FDI,2021-05-04,2021,book-chapter
https://openalex.org/W2766235761,,,Jie Wu|Sam Park,https://openalex.org/A5044670893|https://openalex.org/A5061432966,https://orcid.org/0000-0002-4289-4204|,MO|CN,University of Macau|China Europe International Business School,https://openalex.org/I204512498|https://openalex.org/I64175962,True|False,,0.88550747,2,https://openalex.org/I204512498,The Role of Institutional Complexity on Emerging Multinationals' Innovation Outcomes,https://doi.org/10.5465/ambpp.2016.67,,1.2247,,False,en,False,closed,Academy of Management Proceedings,https://openalex.org/P4310316266,Academy of Management,https://openalex.org/S4210223487,2151-6561,journal,International Business and FDI,2016-01-01,2016,article
https://openalex.org/W2122037617,,,John Mahasi|Zachary Bolo Awino|Ganesh P. Pokhariyal|Beatrice Ombaka,https://openalex.org/A5000313309|https://openalex.org/A5003169238|https://openalex.org/A5112524403|https://openalex.org/A5086222236,|https://orcid.org/0000-0002-7783-8894|https://orcid.org/0000-0002-8711-2579|https://orcid.org/0000-0002-0174-1949,KE|KE|KE|KE,University of Nairobi|University of Nairobi|University of Nairobi|University of Nairobi,https://openalex.org/I12859529|https://openalex.org/I12859529|https://openalex.org/I12859529|https://openalex.org/I12859529,True|False|False|False,,0.83656282,3,https://openalex.org/I12859529,The influence of external stakeholders and expansion strategies on the relationship between organisational resources and firm performance,,,0.7918,,False,en,True,green,Karatina University Digital Repository (Karatina University),https://openalex.org/I221899656,Karatina University,https://openalex.org/S4306401519,,repository,Innovation and Knowledge Management,2013-10-01,2013,article
https://openalex.org/W4214708545,2200,2200,Huirui Zhang|Sanbao Zhang,https://openalex.org/A5011146830|https://openalex.org/A5063841615,|,CN|CN,Wuhan University|Wuhan University,https://openalex.org/I37461747|https://openalex.org/I37461747,False|True,cc-by,0.68560989,3,https://openalex.org/I37461747,How Does the Sustainable Investment Climate Affect Firm Geographic Diversification in China? Managerial Discretion as a Mediator,https://doi.org/10.3390/su14052764,,0.5886,,False,en,True,gold,Sustainability,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://openalex.org/S10134376,2071-1050,journal,Corporate Finance and Governance,2022-02-26,2022,article
https://openalex.org/W4396918271,,,Manpreet Kaur Khurana|Shweta Sharma,https://openalex.org/A5077328431|https://openalex.org/A5100600725,https://orcid.org/0000-0001-7623-7512|https://orcid.org/0000-0003-2340-4887,IN|IN,Malaviya National Institute of Technology Jaipur|Malaviya National Institute of Technology Jaipur,https://openalex.org/I83205935|https://openalex.org/I83205935,True|False,,0.70652727,1,https://openalex.org/I83205935,Debt Financing and family firms’ performance: The moderating role of international trade activities,https://doi.org/10.1109/iccams60113.2023.10525789,,0.3261,,False,en,False,closed,,,,,,,Family Business Performance and Succession,2023-10-27,2023,article
https://openalex.org/W2793628193,,,Toyah L. Miller,https://openalex.org/A5009694544,https://orcid.org/0000-0001-5128-7636,,,,True,,0.35651828,1,,"Internationalization, search, and change: an organizational learning model of strategic change in the pharmaceutical industry",,,0.0,,False,en,False,closed,OakTrust (Texas A&M University Libraries),https://openalex.org/I91045830,Texas A&M University,https://openalex.org/S4306400291,,repository,Innovation and Knowledge Management,2009-05-15,2009,book
https://openalex.org/W4386913248,4130,,Mariia Koval|Viacheslav Iurkov|Gabriel R.G. Benito,https://openalex.org/A5073788645|https://openalex.org/A5045675682|https://openalex.org/A5024408083,|https://orcid.org/0000-0002-7822-5782|https://orcid.org/0000-0003-3181-3779,FR|FR|NO,Grenoble Ecole de Management|Grenoble Ecole de Management|BI Norwegian Business School,https://openalex.org/I68666633|https://openalex.org/I68666633|https://openalex.org/I181046868,False|True|False,,0.77210126,2,https://openalex.org/I68666633,The interplay of international alliance and subsidiary portfolios: Implications for firms’ innovation and financial performance,https://doi.org/10.1016/j.jwb.2023.101500,,0.5468,,False,en,False,closed,Journal of World Business,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S143995394,1090-9516,journal,International Business and FDI,2023-09-21,2023,article
https://openalex.org/W167900498,,,Valentina De Marchi,https://openalex.org/A5015444378,https://orcid.org/0000-0002-9571-8407,,,,True,other-oa,0.9348062,8,,Greening Global Value Chains: the Role of Lead Firms in Fostering Environmental Innovations,,,4.5711,,False,en,True,green,Research Padua  Archive (University of Padua),https://openalex.org/I138689650,University of Padua,https://openalex.org/S4377196283,,repository,Sustainable Industrial Ecology,2011-01-31,2011,article
https://openalex.org/W4400135176,3140,3140,Adah‐Kole Emmanuel Onjewu|Richard B. Nyuur|Joseph Amankwah‐Amoah|Femi Olan|Eun Sun Godwin,https://openalex.org/A5092649891|https://openalex.org/A5037506061|https://openalex.org/A5103144759|https://openalex.org/A5020578789|https://openalex.org/A5052732136,https://orcid.org/0000-0003-3462-0614|https://orcid.org/0000-0002-9544-7264|https://orcid.org/0000-0003-0410-0837|https://orcid.org/0000-0002-7377-9882|https://orcid.org/0000-0001-7030-1587,GB|GB|GB|GB|GB,University of Birmingham|University of Bradford|Durham University|University of Essex|University of Wolverhampton,https://openalex.org/I79619799|https://openalex.org/I139894009|https://openalex.org/I190082696|https://openalex.org/I110002522|https://openalex.org/I119664326,False|True|False|False|False,cc-by,0.89075743,4,https://openalex.org/I139894009,"Foreign Ownership, Board of Directors, and Environmental Commitment in European International New Ventures",https://doi.org/10.1002/tie.22396,,1.9978,,False,en,True,hybrid,Thunderbird International Business Review,https://openalex.org/P4310320595,Wiley,https://openalex.org/S49396926,1096-4762,journal,International Business and FDI,2024-06-27,2024,article
https://openalex.org/W4412060197,3670,3670,Jong Min Lee,https://openalex.org/A5100382872,https://orcid.org/0000-0002-4799-8264,KR,Yonsei University,https://openalex.org/I193775966,True,cc-by-nc-nd,0.95987895,3,https://openalex.org/I193775966,Rethinking the performance implication of regional diversification: The interplay between intra- and inter-regional diversification,https://doi.org/10.1016/j.jbusres.2025.115519,Yonsei University,6.3485,,False,en,True,hybrid,Journal of Business Research,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S93284759,0148-2963,journal,International Business and FDI,2025-07-01,2025,article
