study_id,wos_id,authors,year,title,journal,doi,n_sample,country,screen_l1,screen_l1_reason,screen_l2,screen_l2_reason,eligible,doi_measure,fp_measure,r_reported,n_used,notes
S0041,000184491200005,"Barrios, S; Görg, H; Strobl, E",2003,"Explaining firms' export behaviour:: R&D, spillovers and the destination market",OXFORD BULLETIN OF ECONOMICS AND STATISTICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0042,000184687100002,"Carpenter, MA; Pollock, TG; Leary, MM",2003,"Testing a model of reasoned risk-taking: Governance, the experience of principals and agents, and global strategy in high-technology IPO firms",STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0043,000184687100006,"Qian, GM; Li, L",2003,Profitability of small- and medium-sized enterprises in high-tech industries: The case of the biotechnology industry,STRATEGIC MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0044,000186792000003,"Goerzen, A; Beamish, PW",2003,Geographic scope and multinational enterprise performance,STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_perf_match,,,,,,,,wos
S0045,000223935500010,"Yeoh, PL",2004,International learning: antecedents and performance implications among newly internationalizing companies in an exporting context,INTERNATIONAL MARKETING REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0046,000221570700005,"Carpenter, MA; Sanders, WG",2004,The effects of top management team pay and firm internationalization on MNC performance,JOURNAL OF MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0047,000301248200035,"Hall, Graham; Tu, Ciwen",2004,"Internationalization and size, age and profitability in the United Kingdom",HANDBOOK OF RESEARCH ON INTERNATIONAL ENTREPRENEURSHIP,,,,Y,ip_perf_match,,,,,,,,wos
S0048,000189149500002,"Leknes, HM; Carr, C",2004,"Globalisation, international configurations and strategic implications: The case of retailing",LONG RANGE PLANNING,,,,Y,ip_firm_match,,,,,,,,wos
S0049,000220991900005,"Sustar, B",2004,Industrial structure and international competitiveness of post-communist Slovenia,POST-COMMUNIST ECONOMIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0050,000221359400005,"Calantone, RJ; Cavusgil, ST; Schmidt, JB; Shin, GC",2004,Internationalization and the dynamics of product adaptation an empirical investigation,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0051,000222960600003,"Rojec, M; Damijan, JP; Majcen, B",2004,Export propensity of Estonian and Slovenian manufacturing firms - Does foreign ownership matter?,EASTERN EUROPEAN ECONOMICS,,,,Y,ip_firm_match,,,,,,,,wos
S0052,000223566400009,"Lu, JW; Beamish, PW",2004,International diversification and firm performance: The S-CURVE hypothesis,ACADEMY OF MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0053,000224676600012,"Merino, F",2004,Firms' productivity and internationalization: a statistical dominance test,APPLIED ECONOMICS LETTERS,,,,Y,ip_perf_match,,,,,,,,wos
S0054,000225135400004,"Westhead, P; Wright, M; Ucbasaran, D",2004,Internationalization of private firms: environmental turbulence and organizational strategies and resources,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,,,,Y,ip_firm_match,,,,,,,,wos
S0055,000227397300007,"Yu, CMJ; Chiao, YC; Chen, CJ",2005,The impact of internationalisation and proprietary assets on firm performance: an empirical analysis of Taiwanese high-tech firms,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0056,000415416100010,"Sadrieh, Farid; Annavarjula, Madan",2005,Firm-Specific Determinants of Corporate Lobbying Participation and Intensity,INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0057,000283789300015,"Hall, Graham; Silva, Ana Paula",2005,Factors associated with the performance of UK SMEs: are they country specific?,ENTREPRENEURSHIP RESEARCH IN EUROPE: OUTCOME AND PERSPECTIVES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0058,000211779800004,"Rasiah, Rajah; Gachino, Geoffrey",2005,Are Foreign Firms More Productive and Export- and Technology-intensive than Local Firms in Kenyan Manufacturing?,OXFORD DEVELOPMENT STUDIES,,,,Y,ip_firm_match,,,,,,,,wos
S0059,000212609400003,"Thoumrungroje, Amonrat; Tansuhaj, Patriya",2005,"Entrepreneurial Strategic Posture, International Diversifi cation, and Firm Performance",MULTINATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0060,000409680100004,"Abouzeedan, Adli; Busler, Michael",2005,ASPEM as the New Topographic Analysis Tool for Small and Medium-Sized Enterprises (SMEs) Performance Models Utilization,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,UNSURE,title_insufficient,,,,,,,,wos
S0061,000231296500005,"Günther, J; Gebhardt, O",2005,Eastern Germany in the process of catching up - The role of foreign and West German investors in technological renewal,EASTERN EUROPEAN ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0062,000229746600005,"Oczkowski, E; Sharma, K",2005,Determinants of efficiency in least developed countries: Further evidence from Nepalese manufacturing firms,JOURNAL OF DEVELOPMENT STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0063,000228782700011,"Christophe, SE; Lee, H",2005,What matters about internationalization: a market-based assessment,JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0064,000231341500005,"Gerpott, TJ; Jakopin, NM",2005,The degree of internationalization and the financial performance of European mobile network operators,TELECOMMUNICATIONS POLICY,,,,Y,ip_perf_match,,,,,,,,wos
S0065,000235833900005,"Mol, MJ; van Tulder, RJM; Beije, PR",2005,Antecedents and performance consequences of international outsourcing,INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0066,000233203200004,"Girma, S; Kneller, R",2005,"Convergence in the UK service sector: Firm level evidence, 1988-1998",SCOTTISH JOURNAL OF POLITICAL ECONOMY,,,,UNSURE,title_insufficient,,,,,,,,wos
S0067,000238822400013,"Rasiah, Rajah",2006,"Ownership, technological intensities, and economic performance in South Africa",INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0068,000242984100008,"Shih, Hsi-An; Chiang, Yun-Hwa; Hsu, Chu-Chun",2006,Can high performance work systems really lead to better performance?,INTERNATIONAL JOURNAL OF MANPOWER,,,,UNSURE,title_insufficient,,,,,,,,wos
S0069,000212618600002,"Hsu, Chin-Chun",2006,Internationalization and Performance: The S-curve Hypothesis and Product Diversity Effect,MULTINATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0070,000283847000005,"Castellani, Davide; Zanfei, Antonello",2006,"How firms differ in innovation, productivity and internationalisation","MULTINATIONAL FIRMS, INNOVATION AND PRODUCTIVITY",,,,Y,ip_perf_match,,,,,,,,wos
S0071,000211539800002,"Bloodgood, James",2006,Venture adolescence Internationalization and performance implications of maturation,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,,,,Y,ip_perf_match,,,,,,,,wos
S0072,000409689800002,"Lu, Jane W.; Beamish, Paul W.",2006,SME internationalization and performance: Growth vs. profitability,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,,,Y,ip_perf_match,,,,,,,,wos
S0073,000239248900009,"Wagner, Joachim",2006,Export intensity and plant characteristics: What can we learn from quantile regression?,REVIEW OF WORLD ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0074,000235937300007,"Wolff, JA; Pett, TL",2006,Small-firm performance: Modeling the role of product and process improvements,JOURNAL OF SMALL BUSINESS MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0075,000236169800012,"Thomas, DE",2006,International diversification and firm performance in Mexican firms: A curvilinear relationship?,JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0076,000239552100006,"Chiao, Yu-Ching; Yang, Kuo-Pin; Yu, Chwo-Ming Joseph",2006,"Performance, internationalization, and firm-specific advantages of SMEs in a newly-industrialized economy",SMALL BUSINESS ECONOMICS,,,,Y,ip_perf_match,,,,,,,,wos
S0077,000238041100004,"Lu, Jane W.; Beamish, Paul W.",2006,Partnering strategies and performance of SMEs' international joint ventures,JOURNAL OF BUSINESS VENTURING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0078,000239799200002,"Lee, Ho-Uk; Park, Jong-Hun",2006,"Top team diversity, internationalization and the mediating effect of international alliances",BRITISH JOURNAL OF MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0079,000242100600003,"Pawlik, Konrad",2006,"Foreign ownership and productivity in Polish industry - The case of Polish manufacturing, 1993-2002",EASTERN EUROPEAN ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0080,000239799200001,"Yamak, Sibel; Usdiken, Behlul",2006,Economic liberalization and the antecedents of top management teams:: Evidence from Turkish 'big' business,BRITISH JOURNAL OF MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0081,000243137800003,"Cao, Xiaozhi; Hansen, Eric N.",2006,Innovation in China's furniture industry,FOREST PRODUCTS JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0082,000243497600004,"Hitt, Michael A.; Bierman, Leonard; Uhlenbruck, Klaus; Shimizu, Katsuhiko",2006,"The importance of resources in the internationalization of professional service firms: The good, the bad, and the ugly",ACADEMY OF MANAGEMENT JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0083,000210863100004,"Goergen, Marc; Khurshed, Arif; Mudambi, Ram",2007,The long-run performance of UK IPOs: can it be predicted?,MANAGERIAL FINANCE,,,,UNSURE,title_insufficient,,,,,,,,wos
S0084,000251119200009,"Aspelund, Arild; Madsen, Tage Koed; Moen, Oystein",2007,"A review of the foundation, international marketing strategies, and performance of international new ventures",EUROPEAN JOURNAL OF MARKETING,,,,UNSURE,title_insufficient,,,,,,,,wos
S0085,000247736300007,"Bontis, Nick; Seleim, Ahmed; Ashour, Ahmed",2007,Human capital and organizational performance: a study of Egyptian software companies,MANAGEMENT DECISION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0086,000409707400004,"Kim, Hyung Jun; Jung, Duk Hwa",2007,A Study on the Born Global Venture Corporation's Characteristics and Performance,JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE,,,,Y,ip_perf_match,,,,,,,,wos
S0087,000270809900008,"Bausch, Andreas; Fritz, Thomas; Boesecke, Kathrin",2007,PERFORMANCE EFFECTS OF INTERNATIONALIZATION STRATEGIES: A META-ANALYSIS,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,N,meta,,,,,,,,wos
S0088,000210869000005,"Falay, Zeynep; Salimaki, Markku; Ainamo, Antti; Gabrielsson, Mika",2007,Design-intensive born globals: a multiple case study of marketing management,JOURNAL OF MARKETING MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0089,000213286500002,"Kovacic, Art",2007,Benchmarking the Slovenian competitiveness by system of indicators,BENCHMARKING-AN INTERNATIONAL JOURNAL,,,,UNSURE,title_insufficient,,,,,,,,wos
S0090,000436618300008,"Sarkar, Soumodip",2007,"Gazelle in elephant's clothing, an integrated model of outsourcing",INTERNATIONAL JOURNAL OF INDIAN CULTURE AND BUSINESS MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0091,000270809900016,"Richter, Nicole",2007,INTRA-REGIONAL SALES AND THE INTERNATIONALIZATION AND PERFORMANCE RELATIONSHIP,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0092,000270809900012,"Li, Lei; Li, Dan",2007,TESTING THE GLOBAL AND REGIONAL STRATEGIES OF MULTINATIONAL ENTERPRISES,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,Y,ip_firm_match,,,,,,,,wos
S0093,000270809900010,"Kumar, Vikas; Gaur, Ajai S.",2007,INTERNATIONALIZATION OF INDIAN FIRMS: REGIONALIZATION PATTERNS AND IMPACT ON PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0094,000270809900009,"Fortanier, Fabienne; Muller, Alan; van Tulder, Rob",2007,INTERNATIONALIZATION AND PERFORMANCE: THE MODERATING ROLE OF STRATEGIC FIT,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0095,000270809900007,"Bowen, Harry P.",2007,THE EMPIRICS OF MULTINATIONALITY AND PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,,,Y,ip_perf_match,,,,,,,,wos
S0096,000243638500009,"Castellani, Davide; Zanfei, Antonello",2007,"Internationalisation, innovation and productivity: How do firms differ in Italy?",WORLD ECONOMY,,,,Y,ip_perf_match,,,,,,,,wos
S0097,000245465000002,"Tong, Tony W.; Reuer, Jeffrey J.",2007,Real options in multinational corporations: organizational challenges and risk implications,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,Y,ip_firm_match,,,,,,,,wos
S0098,000244400600005,"Chang, Shao-Chi; Wang, Chi-Feng",2007,The effect of product diversification strategies on the relationship between international diversification and firm performance,JOURNAL OF WORLD BUSINESS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0099,000245485700007,"Singh, Manohar; Nejadmalayeri, Ali; Mathur, Ike",2007,Performance impact of business group affiliation: An analysis of the diversification-performance link in a developing economy,JOURNAL OF BUSINESS RESEARCH,,,,UNSURE,title_insufficient,,,,,,,,wos
S0100,000246283100007,"Driffield, Nigel; Love, James H.",2007,Linking FDI motivation and host economy productivity effects: conceptual and empirical analysis,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,N,conceptual,,,,,,,,wos
S0101,000247487300005,"Quer, Diego; Claver, Enrique; Andreu, Rosario",2007,Foreign market entry mode in the hotel industry: The impact of country- and firm-specific factors,INTERNATIONAL BUSINESS REVIEW,,,,UNSURE,title_insufficient,,,,,,,,wos
S0102,000246540600005,"Chari, Murali D. R.; Devaraj, Sarv; David, Parthiban",2007,International diversification and firm performance: Role of information technology investments,JOURNAL OF WORLD BUSINESS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0103,000248991200001,"Nes, Erik B.; Solberg, Carl Arthur; Silkoset, Ragnhild",2007,The impact of national culture and communication on exporter-distributor relations and on export performance,INTERNATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0104,000250423900005,"Filatotchev, Igor; Isachenkova, Natalia; Mickiewicz, Tomasz",2007,"Corporate governance, managers' independence, exporting, and performance of firms in transition economies",EMERGING MARKETS FINANCE AND TRADE,,,,Y,ip_perf_match,,,,,,,,wos
S0105,000253768200001,"Chang, Juichuan",2007,"International expansion path, speed, product diversification and performance among emerging-market MNEs: Evidence from Asia-Pacific multinational companies",ASIAN BUSINESS & MANAGEMENT,,,,Y,ip_perf_match,,,,,,,,wos
S0106,000258944000007,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",2008,Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0107,000257165400002,"Li, Lei",2008,Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0108,000252606700006,"Kafouros, Mario I.; Buckley, Peter J.; Sharp, John A.; Wang, Chengqi",2008,The role of internationalization in explaining innovation performance,TECHNOVATION,,,,Y,ip_perf_match,,,,,,,,wos
S0109,000251629700007,"Wright, Mike; Liu, Xiaohui; Buck, Trevor; Filatotchev, Igor",2008,"Returnee entrepreneurs, science park location choice and performance: An analysis of high-technology SMEs in China",ENTREPRENEURSHIP THEORY AND PRACTICE,,,,UNSURE,title_insufficient,,,,,,,,wos
S0110,000217143200002,"Calia, P.; Ferrante, M. R.",2008,A MULTIVARIATE FRAMEWORK TO EXPLORE FIRMS' INTERNATIONALIZATION PATTERNS: THE ROLE OF INDIVIDUAL HETEROGENEITY,STATISTICA,,,,UNSURE,title_insufficient,,,,,,,,wos
S0111,000212629800003,"Bae, Sung C.; Park, Bell J. C.; Wang, Xiaohong",2008,"Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufacturing Firms",MULTINATIONAL BUSINESS REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0112,000260818400011,"Chi, Nai-Wen; Wu, Chih-Yun; Lin, Carol Yeh-Yun",2008,Does training facilitate SME's performance?,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0113,000261711600002,"Chiao, Yu-Ching; Yu, Chow-Ming Joseph; Li, Peng-Yu; Chen, Yi-Chuan",2008,"Subsidiary size, internationalization, product diversification, and performance in an emerging market",INTERNATIONAL MARKETING REVIEW,,,,Y,ip_perf_match,,,,,,,,wos
S0114,000253178900006,"Berry, Heather; Sakakibara, Mariko",2008,Resource accumulation and overseas expansion by Japanese multinationals,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,,,,UNSURE,title_insufficient,,,,,,,,wos
S0115,000252595200001,"Wiersema, Margarethe F.; Bowen, Harry P.",2008,"Corporate diversification: The impact of foreign competition, industry globalization, and product diversification",STRATEGIC MANAGEMENT JOURNAL,,,,Y,ip_firm_match,,,,,,,,wos
S0116,000253721900007,"Rhee, Jay Hyuk",2008,International expansion strategies of Korean venture firms: Entry mode choice and performance,ASIAN BUSINESS & MANAGEMENT,,,,UNSURE,title_insufficient,,,,,,,,wos
S0117,000255995900003,"Jantunen, Ari; Nummela, Niina; Puumalainen, Kaisu; Saarenketo, Sami",2008,Strategic orientations of born globals - Do they really matter?,JOURNAL OF WORLD BUSINESS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0118,000253280000004,"Qian, Gongming; Li, Lee; Li, Ji; Qian, Zhengming",2008,Regional diversification and firm performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,UNSURE,title_insufficient,,,,,,,,wos
S0119,000213836000006,"Guerreiro, Marta Silva; Rodrigues, Lucia Lima; Craig, Russell",2008,The preparedness of companies to adopt International Financial Reporting Standards: Portuguese evidence,ACCOUNTING FORUM,,,,UNSURE,title_insufficient,,,,,,,,wos
S0120,000257340500002,"Temouri, Yama; Driffield, Nigel L.; Higon, Dolores Anon",2008,Analysis of productivity differences among foreign and domestic firms:: Evidence from Germany,REVIEW OF WORLD ECONOMICS,,,,UNSURE,title_insufficient,,,,,,,,wos
S0121,000254559300015,"Kneller, Richard; Pisu, Mauro; Yu, Zhihong",2008,Overseas business costs and firm export performance,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,,,,Y,ip_perf_match,,,,,,,,wos
