study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes,doi,doi_source,doi_confidence
S12,S12,Hsu & Boggs,2003,0.4435,118,Taiwan,1996,2001,I,1,L,PRE,FSTS,ACC,1,0,8 effects,10.1108/1525383x200300015,references,medium
S13,S13,Ruigrok & Wagner,2003,-0.1425,252,Germany,1993,2000,I,1,L,PRE,FSTS,ACC,1,0,JIBS; 4 effects,,,none
S14,S14_e1,Majocchi & Zucchella,2003,0.06,220,Italy,1997,2000,II,2,L,PRE,EXP,ACC,1,0,Italian SMEs,10.1177/0266242603021003001,references,review
S14,S14_e2,Majocchi & Zucchella,2003,0.11,220,Italy,1997,2000,II,2,L,PRE,EXP,ACC,1,0,Italian SMEs,10.1177/0266242603021003001,references,review
S15,S15,Carpenter & Sanders,2004,0.27,224,USA,1997,2000,I,1,L,PRE,FSTS,ACC,1,0,Upper Echelons,10.1016/j.jm.2004.02.001,references+openalex+corpus,high
S16,S16,Kim et al.,2004,-0.0355,295,Korea,1997,2001,I,1,L,PRE,GEO,ACC,1,0,Korean firms 4 eff,10.21739/ibr.2005.12.9.2.381,corpus_suggested,suggested
S17,S17,Lu & Beamish,2004,-0.06,1489,Japan,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; S-curve,10.2307/20159604,references,review
S18,S18,Thomas & Eden,2004,0.08,151,USA,1998,2002,I,1,L,PRE,FSTS,ACC,1,0,MBR; 4 effects,10.1108/1525383x200400005,references+openalex,high
S19,S19,Chiao et al.,2006,0.056,1419,Taiwan,1998,2002,I,1,L,PRE,EXP,ACC,1,0,Taiwan SMEs,10.1007/s11187-005-5604-6,references+tracker+openalex+corpus,high
S20,S20_e1,Elango,2006,0.125,326,USA,1998,2003,I,1,L,PRE,FSTS,MIX,1,0,MBR 2 subsamples,10.1108/1525383x200600015,references,medium
S20,S20_e2,Elango,2006,0.226,393,USA,1998,2003,I,1,L,PRE,FSTS,MIX,1,0,MBR 2 subsamples,10.1108/1525383x200600015,references,medium
S21,S21,Hsu,2006,0.369,255,Taiwan,1999,2003,I,1,L,PRE,FSTS,ACC,1,0,,10.1108/1525383x200600007,tracker,medium
S22,S22,Thomas,2006,0.027,386,Mexico,1999,2003,III,3,L,PRE,EXP,ACC,1,0,Mexico firms,10.1016/j.jbusres.2005.09.008,references,review
S23,S23_e1,Chari et al.,2007,0.25,131,USA,2000,2004,I,1,L,PRE,COMP,MIX,1,0,JWB 2 effects,10.1016/j.jwb.2007.02.007,references,review
S23,S23_e2,Chari et al.,2007,0.37,131,USA,2000,2004,I,1,L,PRE,COMP,MIX,1,0,JWB 2 effects,10.1016/j.jwb.2007.02.007,references,review
S24,S24,Fortanier et al.,2007,0.1,332,Multi,2000,2004,MX,0,L,PRE,FSTS,ACC,1,0,Host-country focus,10.5465/ambpp.2007.26508474,references,review
S25,S25,Kumar & Gaur,2007,0.343,240,India,2000,2004,III,3,L,PRE,GEO,ACC,1,0,Indian groups,10.1016/s1064-4857(07)13009-6,tracker,review
S26,S26,Ruigrok et al.,2007,-0.138,87,Switzerland,2000,2004,I,1,L,PRE,FSTS,ACC,1,0,Swiss firms,10.1007/s11575-007-0015-4,references,review
S27,S27,Richter,2007,-0.058,85,Germany,2000,2004,I,1,L,PRE,FSTS,ACC,1,0,,10.1016/s1064-4857(07)13015-1,tracker,medium
S28,S28_e1,Vilas-Boas & González,2007,-0.13,291,Spain,2000,2004,II,2,L,PRE,EXP,ACC,1,0,Spanish firms,10.1300/j037v16n01_07,openalex,medium
S28,S28_e2,Vilas-Boas & González,2007,0.17,291,Spain,2000,2004,II,2,L,PRE,EXP,ACC,1,0,Spanish firms,10.1300/j037v16n01_07,openalex,medium
S29,S29,Bae et al.,2008,0.06,672,Korea,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,5 effects,10.1108/1525383x200800003,references+tracker+openalex,high
S30,S30_e1,Brock & Yaffe,2008,-0.04,89,Israel,2001,2005,I,1,L,PRE,GEO,ACC,1,0,4 effects,10.1016/j.ibusrev.2008.08.001,references,review
S30,S30_e2,Brock & Yaffe,2008,0.08,89,Israel,2001,2005,I,1,L,PRE,GEO,ACC,1,0,4 effects,10.1016/j.ibusrev.2008.08.001,references,review
S31,S31_e1,Kumar & Singh,2008,-0.145,75,India,2001,2005,III,3,L,PRE,EXP,LAB,1,0,India mfg,10.1016/s1064-4857(07)13009-6,tracker,review
S31,S31_e2,Kumar & Singh,2008,-0.3,75,India,2001,2005,III,3,L,PRE,EXP,LAB,1,0,India mfg,10.1016/s1064-4857(07)13009-6,tracker,review
S32,S32_e1,Pangarkar,2008,0.247,94,Singapore,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,Singapore listed,10.1016/j.jwb.2007.11.009,corpus_suggested,suggested
S32,S32_e2,Pangarkar,2008,0.286,94,Singapore,2001,2005,I,1,L,PRE,FSTS,ACC,1,0,Singapore listed,10.1016/j.jwb.2007.11.009,corpus_suggested,suggested
S33,S33,Qian et al.,2008,0.232,189,USA/Multi,2001,2005,I,1,L,PRE,GEO,ACC,1,0,,10.1057/palgrave.jibs.8400346,tracker,medium
S34,S34,Garbe & Richter,2009,-0.085,85,Germany,2002,2006,I,1,L,PRE,FSTS,ACC,1,0,3 effects,10.1016/j.intman.2009.01.003,references,medium
S35,S35,Gaur & Kumar,2009,-0.075,240,India,2002,2006,III,3,L,PRE,GEO,ACC,1,0,India business groups,10.1111/j.1467-8551.2008.00558.x,references,review
S36,S36,Pattnaik & Elango,2009,-0.02,787,India,2002,2006,III,3,L,PRE,EXP,ACC,1,0,India exporters,10.1108/1525383x200900012,references,review
S37,S37,Ciszewska-Mlinaric & Mlinaric,2010,0.133,67,Poland,2004,2008,II,2,L,SPN,EXP,ACC,1,0,Polish SMEs 6 eff,10.2478/v10051-010-0017-y,references,medium
S38,S38,Chao & Kumar,2010,0.169,500,Multi,2004,2007,MX,0,L,SPN,COMP,ACC,1,0,Inst.distance mod,10.1016/j.jwb.2009.04.005,references+openalex,high
S39,S39,Chen & Hsu,2010,0.164,224,Taiwan,2004,2008,I,1,L,SPN,FSTS,ACC,1,0,,10.1016/j.indmarman.2009.10.001,references,medium
S40,S40_e1,Pan et al.,2010,0.05,332,China/Multi,2004,2008,III,3,L,SPN,FSTS,ACC,1,0,,10.5897/ajbm.9000363,corpus_suggested,suggested
S40,S40_e2,Pan et al.,2010,0.07,332,China/Multi,2004,2008,III,3,L,SPN,FSTS,ACC,1,0,,10.5897/ajbm.9000363,corpus_suggested,suggested
S41,S41,Nielsen,2010,0.09,165,Denmark,2003,2008,I,1,L,SPN,FSTS,ACC,1,0,Danish firms,10.1108/s1571-5027(2010)00000230028,corpus_suggested,suggested
S42,S42,Chiao & Yang,2011,-0.022,3194,Taiwan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,Large sample,10.1504/ijesb.2011.043273,references,review
S43,S43,Endo & Ozaki,2011,-0.054,316,Japan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,Japanese firms,10.1057/abm.2011.27,references,review
S44,S44,Lin et al.,2011,-0.1,179,Taiwan,2005,2009,I,1,L,SPN,FSTS,ACC,1,0,,10.1016/j.intman.2010.12.004,references,medium
S45,S45_e1,Zhang & Toppinen,2011,0.25,50,China,2005,2009,III,3,L,SPN,EXP,ACC,1,0,Forestry sector,10.1505/ifor.13.1.96,corpus_suggested,suggested
S45,S45_e2,Zhang & Toppinen,2011,0.31,50,China,2005,2009,III,3,L,SPN,EXP,ACC,1,0,Forestry sector,10.1505/ifor.13.1.96,corpus_suggested,suggested
S46,S46,Assaf et al.,2012,-0.29,43,Multi/Hotels,2005,2010,MX,0,L,SPN,FSTS,ACC,1,0,Hotel industry,10.1016/j.ijhm.2011.05.003,references,medium
S47,S47,Almodóvar,2012,0.018,1067,Spain,2005,2010,II,2,L,SPN,EXP,ACC,1,0,Spanish mfg,10.1108/15253831211286246,corpus,medium
S48,S48,Chang et al.,2012,0.18,335,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,,10.1016/j.intman.2012.12.003,corpus_suggested,suggested
S49,S49_e1,Chen & Tan,2012,-0.011,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects,10.1016/j.jwb.2012.06.001,retrieval_candidate,suggested
S49,S49_e2,Chen & Tan,2012,0.171,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects,10.1016/j.jwb.2012.06.001,retrieval_candidate,suggested
S49,S49_e3,Chen & Tan,2012,0.24,887,China,2006,2010,III,3,L,SPN,EXP,ACC,1,0,3 effects,10.1016/j.jwb.2012.06.001,retrieval_candidate,suggested
S50,S50,Li et al.,2012,0.135,278,China,2006,2010,III,3,L,SPN,GEO,ACC,1,0,,10.1016/j.ibusrev.2013.03.001,retrieval_candidate,suggested
S51,S51_e1,Pan & Tsai,2012,0.05,281,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firms,10.1016/j.ibusrev.2012.01.006,corpus_suggested,suggested
S51,S51_e2,Pan & Tsai,2012,0.07,281,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firms,10.1016/j.ibusrev.2012.01.006,corpus_suggested,suggested
S52,S52,Polat & Mutlu,2012,0.266,103,Turkey,2006,2010,III,3,L,SPN,EXP,ACC,1,0,Turkish firms,10.1108/09699981211205849,references,medium
S53,S53_e1,Tsao & Chen,2012,0.096,790,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firm 2 eff,,,review
S53,S53_e2,Tsao & Chen,2012,0.122,790,Taiwan,2006,2010,I,1,L,SPN,FSTS,ACC,1,0,Family firm 2 eff,,,review
S54,S54_e1,Fernhaber,2013,-0.16,253,USA,2005,2010,I,1,L,SPN,COMP,ACC,1,0,New ventures 2 eff,10.1016/j.jbusvent.2012.05.002,references+openalex,review
S54,S54_e2,Fernhaber,2013,0.02,253,USA,2005,2010,I,1,L,SPN,COMP,ACC,1,0,New ventures 2 eff,10.1016/j.jbusvent.2012.05.002,references+openalex,review
S55,S55_e1,Hsu et al.,2013,0.149,187,Taiwan,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,,10.1016/j.jwb.2012.06.001,references+tracker,high
S55,S55_e2,Hsu et al.,2013,-0.247,187,Taiwan,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,,10.1016/j.jwb.2012.06.001,references+tracker,high
S56,S56,Lee,2013,0.06,814,Korea,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,6 effects,,,review
S57,S57_e1,Tsao & Lien,2013,0.033,776,Taiwan,2007,2011,I,1,M,SPN,FSTS,ACC,1,0,Family firms 2 eff,,,review
S57,S57_e2,Tsao & Lien,2013,0.068,776,Taiwan,2007,2011,I,1,M,SPN,FSTS,ACC,1,0,Family firms 2 eff,,,review
S58,S58,Xiao et al.,2013,-0.034,114398,China,2004,2008,III,3,L,SPN,EXP,LAB,1,0,Large sample; WBES?,10.1016/j.intman.2012.12.003,retrieval_candidate,suggested
S59,S59,De Jong & van Houten,2014,0.22,568,Netherlands,2007,2011,I,1,M,SPN,GEO,ACC,1,0,,10.1108/ijchm-09-2012-0173,retrieval_candidate,suggested
S60,S60_e1,Hilmersson,2014,0.04,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects,10.1177/0266242613485778,references,review
S60,S60_e2,Hilmersson,2014,0.16,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects,10.1177/0266242613485778,references,review
S60,S60_e3,Hilmersson,2014,0.27,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects,10.1177/0266242613485778,references,review
S61,S61,Graves & Shan,2014,-0.07,4217,Australia,2007,2012,I,1,M,SPN,FSTS,ACC,1,0,Large sample,10.1177/0894486513510534,references,review
S62,S62,Lee et al.,2014,0.383,279,Korea SME,2008,2012,I,1,M,SPN,EXP,ACC,1,0,Korean SMEs,10.1108/ijchm-09-2012-0173,corpus,medium
S63,S63,Zhou & Wu,2014,0.15,376,China,2007,2012,III,3,L,SPN,EXP,ACC,1,0,China tech,10.1016/j.jwb.2013.04.003,references,review
S64,S64,Nguyen & Rugman,2015,0.2175,101,Vietnam,2009,2013,III,3,L,SPN,FSTS,ACC,1,0,4 effects,10.1017/mor.2016.13,corpus_suggested,suggested
S65,S65,Ren et al.,2015,0.09,176,China,2009,2013,III,3,L,SPN,EXP,ACC,1,0,,10.1371/journal.pone.0162175,retrieval_candidate,suggested
S66,S66,Chen et al.,2015,-0.038,118,Taiwan,2009,2013,I,1,M,SPN,FSTS,ACC,1,0,,10.1016/j.jclepro.2015.12.105,retrieval_candidate,suggested
S67,S67,Da Huo & Hung,2015,0.01,316,Taiwan,2009,2013,I,1,M,SPN,FSTS,ACC,1,0,,10.17230/ad-minister.29.1,retrieval_candidate,suggested
S68,S68,Benito-Osorio et al.,2015,-0.09,2748,Spain,2007,2012,II,2,L,SPN,EXP,ACC,1,0,Spanish mfg large,10.1016/j.ibusrev.2015.03.003,references,review
S69,S69,Altaf & Shah,2016,0.08,180,Pakistan,2009,2014,FR,6,L,SPN,EXP,ACC,1,0,Pakistan firms,10.1016/j.psrb.2016.05.002,corpus_suggested,suggested
S70,S70,Assaf et al.,2016,0.009,68,Multi/Hotels,2009,2014,MX,0,L,SPN,FSTS,ACC,1,0,Hotels replication,10.1016/j.annals.2015.12.008,references,review
S71,S71,Berry & Kaul,2016,0.04,2023,Multi,2005,2012,MX,0,M,SPN,FSTS,MIX,1,0,Replication study,10.1002/smj.2429,references,review
S72,S72,Brida et al.,2016,-0.032,82,Italy,2009,2014,II,2,L,SPN,FSTS,ACC,1,0,Italy hotels,10.1108/ijchm-10-2014-0517,references,review
S73,S73,Cantele et al.,2016,0.04,1231,Italy,2009,2014,II,2,L,SPN,EXP,ACC,1,0,Italian SMEs,10.1504/ijbg.2016.078407,retrieval_verified,medium
S74,S74,Miller et al.,2016,-0.0635,2692,Multi,2005,2013,MX,0,M,SPN,COMP,MIX,1,0,3 effects,10.1016/j.ibusrev.2015.12.001,references,review
S75,S75_e1,Mohr & Batsakis,2016,0.03,110,Multi,2008,2014,MX,0,M,SPN,FSTS,ACC,1,0,Internation speed,10.1007/s11575-016-0284-7,references,review
S75,S75_e2,Mohr & Batsakis,2016,0.05,110,Multi,2008,2014,MX,0,M,SPN,FSTS,ACC,1,0,Internation speed,10.1007/s11575-016-0284-7,references,review
S76,S76,Upadhyayula et al.,2016,0.354,98,India,2009,2014,III,3,L,SPN,EXP,ACC,1,0,India board,10.1108/jibr-10-2015-0087,references,review
S77,S77,Borda et al.,2017,0.04,103,Latin America,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,Latin Am.,10.1016/j.jbusres.2016.11.021,references,review
S78,S78,Buckley & Tian,2017,-0.031,221,China,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,China MNEs,,,none
S79,S79,Ganvir & Dwivedi,2017,0.0455,411,India,2010,2015,III,3,L,SPN,EXP,ACC,1,0,India 3 effects,10.1108/sajbs-03-2016-0020,references,review
S80,S80_e1,Jin et al.,2017,-0.02,401,China,2010,2015,III,3,L,SPN,EXP,ACC,1,0,,10.1007/s11365-017-0457-4,tracker,medium
S80,S80_e2,Jin et al.,2017,-0.03,401,China,2010,2015,III,3,L,SPN,EXP,ACC,1,0,,10.1007/s11365-017-0457-4,tracker,medium
S81,S81,Nosi et al.,2017,0.305,169,Italy SME,2010,2015,II,2,L,SPN,EXP,ACC,1,0,Niche exporters,10.7433/s102.2017.04,references,medium
S82,S82,Purkayastha et al.,2017,0.029,185,India,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,India conglomerates,10.1016/j.jwb.2018.03.006,references,review
S83,S83,Abdi & Aulakh,2018,0.09,2620,Multi/Emg,2010,2015,MX,0,M,SPN,FSTS,ACC,1,0,JIBS emerging mkt,10.1057/s41267-017-0117-9,references,review
S84,S84,Booltink & Saka-Helmhout,2018,-0.048,947,Multi,2010,2015,MX,0,M,SPN,OTH,ACC,1,0,R&D mod.,10.1111/jsbm.12393,references,review
S85,S85,Cho & Lee,2018,-0.029,232,Korea,2010,2015,I,1,H,SPN,FSTS,ACC,1,0,"Family firms Korea; cDAI=H (Korea advanced digital, post-2010; corrected from M)",10.1108/mrr-06-2017-0175,references,medium
S86,S86,Pouresmaeili et al.,2018,0.69,226,Iran,2011,2016,FR,6,L,SPN,EXP,ACC,1,0,Iran SMEs high r,10.1504/ijbg.2018.095267,references,medium
S87,S87,Hojnik et al.,2018,0.035,267,Slovenia,2010,2015,I,1,M,SPN,EXP,ACC,1,0,Slovenia; 7 eff,10.1080/1331677x.2018.1504673,references,review
S88,S88,Thi Ngoc Huynh et al.,2018,-0.051,12704,Vietnam,2009,2015,III,3,L,SPN,EXP,LAB,1,0,WBES-based,10.3390/jrfm12030144,retrieval_candidate,suggested
S89,S89_e1,Velez-Calle et al.,2018,-0.14,147,Latin America,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,Latin Am. MNEs,10.1108/ijoem-11-2016-0298,references,review
S89,S89_e2,Velez-Calle et al.,2018,0.05,147,Latin America,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,Latin Am. MNEs,10.1108/ijoem-11-2016-0298,references,review
S90,S90,Zhou,2018,-0.028,535,China,2011,2016,III,3,L,SPN,EXP,ACC,1,0,China listed,10.1080/00036846.2017.1321839,references,medium
S91,S91,Sun et al.,2018,-0.006,1220,Multi/China,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,,10.1016/j.jbusres.2018.08.014,references,medium
S92,S92,Feng et al.,2019,0.029,170,China,2012,2017,III,3,L,FOL,EXP,ACC,1,0,,10.1016/j.jbusres.2020.08.011,tracker,medium
S93,S93,Juniati et al.,2019,0.37,300,Indonesia,2012,2017,III,3,L,FOL,EXP,ACC,1,0,Indonesia firms,,,none
S94,S94_e1,Lee et al.,2019,-0.015,91,Korea,2013,2017,I,1,M,FOL,FSTS,ACC,1,0,2 effects,10.18178/ijtef.2019.10.3.645,references,medium
S94,S94_e2,Lee et al.,2019,-0.09,91,Korea,2013,2017,I,1,M,FOL,FSTS,ACC,1,0,2 effects,10.18178/ijtef.2019.10.3.645,references,medium
S95,S95,Meyer et al.,2019,0.52,18,Multi,2013,2017,MX,0,M,FOL,COMP,ACC,1,0,Small n; caution,10.18461/ijfsd.v10i4.22,corpus_suggested,suggested
S96,S96,Tashman et al.,2019,0.41,17,USA/CSR,2012,2017,I,1,H,FOL,FSTS,ACC,1,0,CSR mod.; small n,10.1057/s41267-018-0197-4,references,review
S97,S97_e1,Woo et al.,2019,0.19,107,Korea,2013,2017,I,1,H,FOL,FSTS,ACC,1,0,,10.3390/joitmc5030052,retrieval_candidate,suggested
S97,S97_e2,Woo et al.,2019,0.19,107,Korea,2013,2017,I,1,H,FOL,FSTS,ACC,1,0,,10.3390/joitmc5030052,retrieval_candidate,suggested
S98,S98_e1,Kim et al.,2020,0.013,236,Korea,2013,2018,I,1,H,FOL,FSTS,ACC,1,0,2 effects,10.3390/joitmc5030052,retrieval_candidate,suggested
S98,S98_e2,Kim et al.,2020,-0.29,236,Korea,2013,2018,I,1,H,FOL,FSTS,ACC,1,0,2 effects,10.3390/joitmc5030052,retrieval_candidate,suggested
S99,S99_e1,Phan et al.,2020,-0.011,114,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based,10.5267/j.dsl.2020.7.001,references,medium
S99,S99_e2,Phan et al.,2020,-0.152,285,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based,10.5267/j.dsl.2020.7.001,references,medium
S100,S100,Tu et al.,2020,-0.021,263,China/Taiwan,2013,2018,III,3,L,FOL,EXP,ACC,1,0,,10.5267/j.dsl.2020.7.001,retrieval_candidate,suggested
S101,S101_e1,Freixanet & Rialp,2021,0.066,1064,Spain,2013,2018,II,2,M,FOL,EXP,ACC,1,0,Spain SMEs,10.1002/gsj.1412,references,medium
S101,S101_e2,Freixanet & Rialp,2021,0.087,1064,Spain,2013,2018,II,2,M,FOL,EXP,ACC,1,0,Spain SMEs,10.1002/gsj.1412,references,medium
S102,S102,Kongkaew et al.,2021,0.059,80,Thailand,2014,2018,III,3,L,FOL,EXP,ACC,1,0,Thailand SMEs,10.3390/ijfs9030037,corpus_suggested,suggested
S103,S103,Nath et al.,2021,0.196,73,India/Multi,2014,2018,III,3,L,FOL,EXP,ACC,1,0,,10.17762/ijnpme.v10i03.127,retrieval_candidate,suggested
S104,S104,Tu et al.,2021,-0.093,131,Vietnam,2014,2019,III,3,L,FOL,FSTS,ACC,1,0,,10.5267/j.dsl.2020.7.001,retrieval_candidate,suggested
S105,S105,Tu,2021,-0.056,189,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based,10.5267/j.dsl.2020.7.001,retrieval_candidate,suggested
S106,S106,Tu & Anh,2021,-0.051,90,Vietnam,2014,2018,III,3,L,FOL,EXP,ACC,1,0,,10.5267/j.dsl.2020.7.001,retrieval_candidate,suggested
S107,S107_e1,Song & Lee,2021,0.05,44,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,,10.7275/x78z-g422,retrieval_candidate,suggested
S107,S107_e2,Song & Lee,2021,0.14,70,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,,10.7275/x78z-g422,retrieval_candidate,suggested
S108,S108,Wei & Lin,2021,0.04,2175,China,2014,2019,III,3,L,FOL,EXP,ACC,1,0,Large sample,10.1155/2021/5528972,references,medium
S109,S109,Purkayastha & Gupta,2022,0.04,419,India,2015,2020,III,3,L,FOL,FSTS,ACC,1,0,India family groups,10.1007/s10490-022-09809-w,corpus_suggested,suggested
S110,S110_e1,Putri & Pan,2022,0.003,407,Indonesia,2015,2020,III,3,L,FOL,EXP,ACC,1,0,Indonesia mfg,10.1080/23311975.2022.2079802,references,medium
S110,S110_e2,Putri & Pan,2022,0.012,407,Indonesia,2015,2020,III,3,L,FOL,EXP,ACC,1,0,Indonesia mfg,10.1080/23311975.2022.2079802,references,medium
S111,S111,Daniels & Bracker,1989,0.05,32,USA,1980,1986,I,1,L,PRE,FSTS,ACC,1,0,MIR; profit vs. intl,,,none
S112,S112,"Geringer, Beamish & daCosta",1989,0.145,100,USA/Canada,1980,1986,I,1,L,PRE,GEO,ACC,1,0,SMJ; diversification,,,none
S113,S113,"Kim, Hwang & Burgers",1993,0.035,85,USA,1984,1989,I,1,L,PRE,COMP,ACC,1,0,SMJ; global strategy,10.1002/smj.4250140404,tracker,medium
S114,S114,Sullivan,1994,0.09,74,USA,1986,1991,I,1,L,PRE,COMP,ACC,1,0,JIBS; DOI measurement,,,none
S115,S115,Ramaswamy,1995,0.07,180,USA,1985,1991,I,1,L,PRE,GEO,ACC,1,0,JIBS; multinationality,,,none
S116,S116,Delios & Beamish,1999,0.09,399,Japan,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; Japanese firms,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,tracker,medium
S117,S117,Lu & Beamish,2001,0.09,1489,Japan SMEs,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; Japanese SMEs,10.1002/smj.184,tracker,medium
S118,S118,"Contractor, Kundu & Hsu",2003,0.07,103,Multi/Service,1993,1999,I,1,L,PRE,FSTS,ACC,1,0,JIBS; S-curve; 3 samples,10.1057/palgrave.jibs.8400003,tracker,medium
S119,S119,"Bloodgood, Sapienza & Almeida",1996,0.05,61,USA,1988,1993,I,1,L,PRE,EXP,ACC,1,0,EME; new ventures,,,none
S120,S120,Pangarkar & Yuan,2009,0.12,150,Singapore/Asia,2003,2007,I,1,L,PRE,FSTS,ACC,1,0,JIM; Singapore/HK,,,none
S121,S121,"Gaur, Kumar & Singh",2014,0.09,240,India,2007,2012,III,3,L,SPN,GEO,ACC,1,0,JWB; India institutions,10.1007/s11575-015-0240-0,tracker,medium
S122,S122,Luo & Tung,2015,0.11,285,China,2008,2013,III,3,L,SPN,GEO,ACC,1,0,China EMNEs,10.1016/j.jwb.2015.06.001,corpus_suggested,suggested
S123,S123,"García-García, García-Canal & Guillén",2017,0.15,2256,Spain/Multi,2005,2014,II,2,M,SPN,GEO,ACC,1,0,BJM; rapid intl,10.1016/j.jwb.2016.09.005,corpus_suggested,suggested
S124,S124,"Klier, Schwens, Zapkau & Dikova",2017,0.08,350,Multi,2005,2014,MX,0,M,SPN,COMP,ACC,1,0,JMS; resources meta-reg,,,none
S125,S125,Arte & Larimo,2022,0.115,1200,Multi/Europe,2005,2018,MX,0,M,FOL,COMP,MIX,1,0,JBR; product div mod,10.1016/j.jbusres.2021.09.060,references,medium
