model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M5,C(cy_fe)[T.Philippines_2023],0.171,0.1811,0.944,0.345,,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Qatar_2025],-0.5001,0.1725,-2.898,0.0038,**,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Samoa_2009],-1.4774,0.2788,-5.3,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Samoa_2023],-2.5559,0.2117,-12.071,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.SaudiArabia_2025],-0.4097,0.1724,-2.376,0.0175,*,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Singapore_2023],-1.786,0.1792,-9.968,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.SolomonIslands_2015],-0.0961,0.2062,-0.466,0.6412,,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.SolomonIslands_2025],-1.0452,0.223,-4.686,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.SriLanka_2011],0.3484,0.186,1.873,0.0611,†,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.SriLanka_2025],1.6044,0.1807,8.878,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Taiwan_2024],2.2594,0.1783,12.669,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tajikistan_2008],-4.118,0.1973,-20.872,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tajikistan_2013],-3.0501,0.1989,-15.331,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tajikistan_2019],-1.8988,0.1909,-9.946,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tajikistan_2024],-1.3911,0.1935,-7.191,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Thailand_2016],0.6435,0.1818,3.539,0.0004,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Thailand_2025],0.9329,0.1798,5.189,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.TimorLeste_2009],-3.7989,0.2948,-12.885,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.TimorLeste_2015],-3.833,0.196,-19.553,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.TimorLeste_2021],-3.7473,0.2059,-18.198,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tonga_2009],-2.4119,0.2011,-11.994,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Tonga_2024],-2.8971,0.2082,-13.913,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Turkmenistan_2024],-0.8661,0.1941,-4.463,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Uzbekistan_2013],3.6081,0.203,17.774,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Uzbekistan_2019],4.8797,0.1851,26.362,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Uzbekistan_2024],5.0754,0.1875,27.065,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Vanuatu_2009],1.9708,0.2374,8.303,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Vanuatu_2023],1.38,0.2516,5.484,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Vietnam_2009],6.237,0.1809,34.479,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Vietnam_2015],7.1716,0.181,39.632,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Vietnam_2023],7.6081,0.1792,42.465,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Yemen_2010],1.4443,0.2038,7.087,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,C(cy_fe)[T.Yemen_2013],2.3371,0.2151,10.867,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,fsts_c,0.5512,0.0666,8.275,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,fsts_c2,-0.8262,0.0993,-8.321,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,female_owner,-0.0419,0.0136,-3.09,0.002,**,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,firm_age,0.0046,0.0004,12.919,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M5,ln_size,0.1199,0.0043,27.635,0.0,***,77486,0.7527,0.7523,33.4,0.3335624497844199,3.57,0.5512,-0.8262,0.0,inverted-U,,,,
M6,Intercept,14.2081,0.0329,431.266,0.0,***,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,fsts_c,-0.3442,0.1201,-2.867,0.0041,**,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,fsts_c2,0.4294,0.1638,2.621,0.0088,**,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,tci_z,0.2147,0.0137,15.711,0.0,***,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,female_owner,0.0778,0.0248,3.141,0.0017,**,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,firm_age,0.0077,0.0006,12.397,0.0,***,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
M6,ln_size,0.0562,0.0082,6.827,0.0,***,77209,0.0089,0.0088,,,,-0.3441582639262181,0.4294116236097537,1.0,U or linear (b2>=0),,,,
