model,term,b,se,t,p,sig,n,r2,adj_r2,tp,tp_raw,tp_se,b1,b2,lm_p,shape,tci_mod_joint_F,tci_mod_joint_p,dai_mod_joint_F,dai_mod_joint_p
M10,dai_z,0.1383,0.0124,11.128,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,icrv_group,0.0059,0.0171,0.342,0.7326,,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M10,fsts_c_x_icrv,-0.8659,0.1035,-8.363,0.0,***,74398,0.0111,0.011,34.4,0.34350068779095366,4.38,2.7973,-4.0718,0.0,inverted-U,,,,
M11,Intercept,14.0187,0.0692,202.644,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c,0.3662,0.2779,1.318,0.1876,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c2,0.207,0.1722,1.202,0.2295,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,tci_z,0.1885,0.0143,13.187,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,dai_z,-0.0567,0.0664,-0.854,0.393,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,icrv_group,0.1137,0.0139,8.172,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c_x_icrv,-0.2131,0.0566,-3.763,0.0002,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c_x_dai,-0.5343,0.2614,-2.044,0.041,*,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,fsts_c_x_dai_x_icrv,0.104,0.0648,1.605,0.1086,,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,mgr_experience,-0.0097,0.0016,-6.103,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
M11,mgr_female,0.2881,0.0369,7.805,0.0,***,71306,0.0141,0.0139,,,,0.3661876720775407,0.20695966236300567,1.0,U or linear (b2>=0),,,,
