"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"TCI",0.561088260636682,0.0951753983463778,5.89530772011774,4.16142244568032e-09,0.374544479877782,0.747632041395583,2974,0.140644518832964,"VNM_pooled","M3"
"lnEmp",-0.083493977602289,0.0207852492247873,-4.01698226946054,6.04122024075927e-05,-0.124233066082872,-0.0427548891217059,2974,0.140644518832964,"VNM_pooled","M3"
"firmage",-0.41188191439317,0.098692753071753,-4.17337546652202,3.08749725818464e-05,-0.605319710413806,-0.218444118372534,2974,0.140644518832964,"VNM_pooled","M3"
"foreign",0.263667423757612,0.0767518098647243,3.43532516330661,0.000599976815272225,0.113233876422752,0.414100971092471,2974,0.140644518832964,"VNM_pooled","M3"
"yr2015",0.558068978090426,0.0619562873742871,9.00746319286449,3.68639594948998e-19,0.436634654836823,0.679503301344029,2974,0.140644518832964,"VNM_pooled","M3"
"yr2023",1.13689901190308,0.0611165458980341,18.6021476704502,3.84092204279073e-73,1.01711058194293,1.25668744186323,2974,0.140644518832964,"VNM_pooled","M3"
"(Intercept)",20.6659104776411,0.232159671494148,89.0159360781232,0,20.2108775215126,21.1209434337696,2974,0.141363593631095,"VNM_pooled","M4"
"FSTSc",0.623026676932385,0.248605344553879,2.50608722049159,0.0122607283143542,0.135760201606782,1.11029315225799,2974,0.141363593631095,"VNM_pooled","M4"
"FSTScsq",-1.89326768715779,0.393879720323759,-4.80671532314884,1.61073130111569e-06,-2.66527193899236,-1.12126343532322,2974,0.141363593631095,"VNM_pooled","M4"
"TCI",0.58384844470855,0.096096524410562,6.07564579769942,1.39248670687518e-09,0.395499256863849,0.772197632553252,2974,0.141363593631095,"VNM_pooled","M4"
"lnEmp",-0.0856955631153114,0.0209197536053124,-4.09639447634553,4.30872255026749e-05,-0.126698280181724,-0.044692846048899,2974,0.141363593631095,"VNM_pooled","M4"
"firmage",-0.41295907043202,0.0988688745960258,-4.17683595691116,3.04121883223136e-05,-0.606742064640231,-0.21917607622381,2974,0.141363593631095,"VNM_pooled","M4"
"foreign",0.27093048275255,0.0766808411674459,3.53322262285733,0.000416797152234244,0.120636034064356,0.421224931440744,2974,0.141363593631095,"VNM_pooled","M4"
"yr2015",0.556645683072502,0.0620150841388751,8.97597239126473,4.87343751440487e-19,0.435096118160307,0.678195247984697,2974,0.141363593631095,"VNM_pooled","M4"
"yr2023",1.14040563963177,0.0610741629872201,18.6724726767094,1.18783006515049e-73,1.02070028017681,1.26011099908672,2974,0.141363593631095,"VNM_pooled","M4"
"FSTSc:TCI",-0.402742893432309,0.233420001551058,-1.72540009748999,0.084559625059616,-0.860246096472383,0.0547603096077652,2974,0.141363593631095,"VNM_pooled","M4"
"(Intercept)",20.7413087611672,0.239866632059368,86.4701712909935,0,20.2711701623309,21.2114473600036,2974,0.141880404719922,"VNM_pooled","M5"
"FSTSc",0.887840538969258,0.329873369236869,2.69145866798279,0.00715400833619056,0.241288735264996,1.53439234267352,2974,0.141880404719922,"VNM_pooled","M5"
"FSTScsq",-2.3726145191207,0.551026307379355,-4.30580988121002,1.71776063401242e-05,-3.45262608158423,-1.29260295665716,2974,0.141880404719922,"VNM_pooled","M5"
"TCI",0.379931100524041,0.171034240834127,2.2213744959555,0.0264009091346218,0.0447039884891518,0.715158212558929,2974,0.141880404719922,"VNM_pooled","M5"
"lnEmp",-0.0866059983841525,0.0209316449358134,-4.13756294117011,3.60785385434474e-05,-0.127632022458347,-0.0455799743099583,2974,0.141880404719922,"VNM_pooled","M5"
