economy,year,lp,fsts,tci,dai,lnsize,tci_z,dai_z,fc,fc2
Fiji,2025,11.176453228349015,0.2,0.0,0.0,4.248495242049359,-0.532015902330636,-0.8425683184703314,0.13778183716075157,0.018983834651391862
Fiji,2025,10.665627604583024,0.0,0.0,0.0,2.6390573296152584,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.512925464970229,0.0,0.0,1.0,5.298317366548036,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.232847991903666,0.0,0.0,1.0,4.875197323201151,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.126631103850338,0.0,0.0,0.0,2.995732273553991,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.050978890312175,0.0,0.5,1.0,4.499809670330265,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.982297213908058,0.5,0.0,1.0,4.442651256490317,-0.532015902330636,1.186329104554967,0.4377818371607516,0.19165293694784283
Fiji,2025,10.732766907420654,0.0,0.0,1.0,2.4849066497880004,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.92513880006811,0.2,0.0,1.0,2.1972245773362196,-0.532015902330636,1.186329104554967,0.13778183716075157,0.018983834651391862
Fiji,2025,12.527656269657635,0.0,0.0,0.0,3.367295829986474,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.072541252905651,1.0,0.0,1.0,3.6888794541139363,-0.532015902330636,1.186329104554967,0.9377818371607516,0.8794347741085944
Fiji,2025,12.334905517373143,0.0,0.0,1.0,6.684611727667927,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.716898269296165,0.0,0.0,1.0,1.791759469228055,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.429216196844383,0.02,0.0,1.0,4.0943445622221,-0.532015902330636,1.186329104554967,-0.04221816283924844,0.0017823732735212977
Fiji,2025,11.289781913656018,0.5,0.0,1.0,2.302585092994046,-0.532015902330636,1.186329104554967,0.4377818371607516,0.19165293694784283
Fiji,2025,13.122363377404328,0.7,0.0,1.0,2.995732273553991,-0.532015902330636,1.186329104554967,0.6377818371607515,0.4067656718121434
Fiji,2025,11.07109271269119,0.5,0.0,1.0,4.941642422609304,-0.532015902330636,1.186329104554967,0.4377818371607516,0.19165293694784283
Fiji,2025,11.34107520804357,0.0,0.0,1.0,5.247024072160486,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.41431317630212,0.0,0.5,1.0,3.4011973816621555,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.774056683136113,0.0,0.0,0.0,2.833213344056216,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.465583841015258,0.0,0.0,0.0,3.295836866004329,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.332483158054487,0.0,0.5,0.0,1.9459101490553132,1.0152293123286167,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.26016249647486,0.0,0.0,1.0,3.5553480614894135,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,9.284448344129904,0.0,1.0,1.0,4.867534450455582,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.665627604583024,0.1,0.5,1.0,1.9459101490553132,1.0152293123286167,1.186329104554967,0.03778183716075157,0.0014274672192415483
Fiji,2025,9.251162366496438,0.0,0.0,1.0,3.1780538303479458,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.702271636701148,0.0,0.5,1.0,5.802118375377063,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.665627604583024,0.2,0.5,1.0,5.857933154483459,1.0152293123286167,1.186329104554967,0.13778183716075157,0.018983834651391862
Fiji,2025,11.918390573078392,0.0,1.0,1.0,5.298317366548036,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.082142548877775,0.0,0.0,1.0,2.302585092994046,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.213674271429326,0.0,0.0,1.0,2.9444389791664403,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,10.884316805547854,0.0,0.0,1.0,4.0943445622221,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.107460356862065,0.2,0.0,0.0,1.791759469228055,-0.532015902330636,-0.8425683184703314,0.13778183716075157,0.018983834651391862
Fiji,2025,11.129933212714123,0.01,0.0,1.0,4.477336814478207,-0.532015902330636,1.186329104554967,-0.05221816283924843,0.002726736530306266
Fiji,2025,9.852194258148577,0.97,0.5,1.0,2.302585092994046,1.0152293123286167,1.186329104554967,0.9077818371607516,0.8240678638789493
Fiji,2025,12.38015595389927,0.3,1.0,1.0,3.9512437185814275,2.5624745269878693,1.186329104554967,0.23778183716075155,0.056540202083542164
Fiji,2025,10.239959789157341,0.0,0.0,1.0,3.912023005428146,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.224091151032852,0.0,0.5,1.0,7.003065458786462,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.35877478514297,0.0,0.5,1.0,3.044522437723423,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.31876945052927,0.8,0.5,1.0,2.833213344056216,1.0152293123286167,1.186329104554967,0.7377818371607516,0.5443220392442938
Fiji,2025,10.33178989454705,0.7,0.0,0.0,1.9459101490553132,-0.532015902330636,-0.8425683184703314,0.6377818371607515,0.4067656718121434
Fiji,2025,11.80060753742201,0.0,1.0,1.0,6.040254711277414,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,12.119061268540545,0.0,1.0,1.0,4.787491742782046,2.5624745269878693,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.569014931621272,0.0,0.5,1.0,4.6443908991413725,1.0152293123286167,1.186329104554967,-0.062218162839248435,0.003871099787091235
Fiji,2025,11.541913001843481,0.05,0.5,1.0,4.219507705176107,1.0152293123286167,1.186329104554967,-0.012218162839248432,0.0001492835031663913
Fiji,2025,12.157282481360742,0.05,0.5,1.0,3.044522437723423,1.0152293123286167,1.186329104554967,-0.012218162839248432,0.0001492835031663913
Fiji,2025,13.9208710736221,0.0,0.0,0.0,3.58351893845611,-0.532015902330636,-0.8425683184703314,-0.062218162839248435,0.003871099787091235
Fiji,2025,8.660903849082537,0.0,0.0,1.0,3.6888794541139363,-0.532015902330636,1.186329104554967,-0.062218162839248435,0.003871099787091235
