economy,year,lp_z,fsts,fsts_c,fsts_c2,fdi10,ln_age,tci_z,dai
Tonga,2024,-0.8076728689499482,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.70805020110221,-0.1649685178212683,1.0
Tonga,2024,1.2738876692001175,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.258096538021482,-0.1649685178212683,1.0
Tonga,2024,1.4810510914737438,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.1780538303479458,-0.1649685178212683,0.0
Tonga,2024,0.12451867191782941,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.044522437723423,-0.1649685178212683,1.0
Tonga,2024,0.8265670607506241,0.0,-0.05373103448275862,0.002887024066587396,1.0,3.2188758248682006,-0.1649685178212683,1.0
Tonga,2024,-0.8401956045414257,0.0,-0.05373103448275862,0.002887024066587396,0.0,0.6931471805599453,-0.1649685178212683,1.0
Tonga,2024,-1.0179732659130254,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,1.0
Tonga,2024,0.4052388530665087,0.0,-0.05373103448275862,0.002887024066587396,0.0,4.110873864173311,-0.1649685178212683,1.0
Tonga,2024,-1.832753844934466,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.0986122886681098,-0.1649685178212683,1.0
Tonga,2024,-0.32883293170609623,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.302585092994046,-0.1649685178212683,1.0
Tonga,2024,0.012621201890180721,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.3862943611198906,-0.1649685178212683,1.0
Tonga,2024,0.7037557709009618,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,1.0
Tonga,2024,-0.6027443414803885,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,1.0
Tonga,2024,0.15152791569061724,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.6094379124341003,-0.1649685178212683,0.0
Tonga,2024,0.36055257757221054,0.0,-0.05373103448275862,0.002887024066587396,0.0,1.791759469228055,-0.1649685178212683,1.0
Tonga,2024,-0.2943159613107682,0.95,0.8962689655172413,0.8032980585493459,0.0,3.5263605246161616,-0.1649685178212683,1.0
Tonga,2024,-1.4862607788448734,0.0,-0.05373103448275862,0.002887024066587396,0.0,2.5649493574615367,-0.1649685178212683,1.0
Tonga,2024,0.7362785064924392,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.6109179126442243,-0.1649685178212683,1.0
Tonga,2024,1.0580353585626785,0.0,-0.05373103448275862,0.002887024066587396,1.0,1.9459101490553132,-0.1649685178212683,1.0
Tonga,2024,-1.3924234597517702,0.0,-0.05373103448275862,0.002887024066587396,0.0,3.1780538303479458,-0.1649685178212683,0.0
