"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"FSTSc:TCI",-0.408993867474242,0.994345711831465,-0.41131958694821,0.680981502949783,-2.35791146266391,1.53992372771543,623,0.210745143165019,"SGP2023_full","M4"
"(Intercept)",11.467400793835,0.24390079124448,47.0166608944713,1.21954635735295e-205,10.9893552429958,11.9454463446741,623,0.211315184448275,"SGP2023_full","M5"
"FSTSc",3.07333783588763,0.933617923218923,3.2918582210712,0.0010523679357343,1.24344670637854,4.90322896539672,623,0.211315184448275,"SGP2023_full","M5"
"FSTScsq",-1.76207882621892,1.50218149994822,-1.17301326522771,0.241245346184815,-4.70635456611743,1.1821969136796,623,0.211315184448275,"SGP2023_full","M5"
"TCI",0.930651431443621,0.242313733800026,3.84068792490176,0.000135432228789818,0.455716513195569,1.40558634969167,623,0.211315184448275,"SGP2023_full","M5"
"lnEmp",-0.185579667140701,0.0374179584031468,-4.95964170843414,9.15300704791541e-07,-0.258918865610869,-0.112240468670533,623,0.211315184448275,"SGP2023_full","M5"
"firm_age",0.171903321196684,0.109735794195591,1.56652004441037,0.11774212468105,-0.0431788354266738,0.386985477820042,623,0.211315184448275,"SGP2023_full","M5"
"foreign",0.260217294208811,0.089506635425888,2.90724026180463,0.00377794488318101,0.08478428877407,0.435650299643551,623,0.211315184448275,"SGP2023_full","M5"
"FSTSc:TCI",1.02608330450317,2.56820860477741,0.399532694732989,0.68963967535911,-4.00760556086055,6.05977216986689,623,0.211315184448275,"SGP2023_full","M5"
"FSTScsq:TCI",-2.11816758975514,3.35096678878698,-0.632106410855209,0.527552637217569,-8.68606249577763,4.44972731626734,623,0.211315184448275,"SGP2023_full","M5"
"(Intercept)",13.4126998747724,0.588755208677284,22.781454290495,7.61418049575364e-43,12.2587396657649,14.5666600837799,111,0.0534013628210317,"SGP2023_exp","M0"
"lnEmp",-0.207425440560329,0.0998205819429986,-2.07798268175573,0.0401037310423226,-0.403073781168607,-0.0117770999520522,111,0.0534013628210317,"SGP2023_exp","M0"
"firm_age",-0.352167121940368,0.226229594530469,-1.5566801623425,0.122499372570566,-0.795577127220087,0.091242883339351,111,0.0534013628210317,"SGP2023_exp","M0"
"foreign",0.365209624888255,0.237424713790687,1.53821234132443,0.126948737158312,-0.100142814141491,0.830562063918001,111,0.0534013628210317,"SGP2023_exp","M0"
"(Intercept)",13.2370301027172,0.703626518756022,18.8125798983809,2.07547913584093e-35,11.8579221259554,14.616138079479,111,0.100555083791186,"SGP2023_exp","M2"
"FSTSc",0.382408123382856,1.26808095282888,0.301564440763633,0.763580555001175,-2.10303054416175,2.86784679092746,111,0.100555083791186,"SGP2023_exp","M2"
"FSTScsq",0.614277541641389,1.40192098771012,0.438168446743023,0.662164303543529,-2.13348759427045,3.36204267755323,111,0.100555083791186,"SGP2023_exp","M2"
