country,year,region,icrv_group,icrv_label,firm_id,ln_labor_prod,n3_sales_raw,l1_workers_raw,fsts,exporter,fsts_pct,dai_website,dai_epay,dai_epay_pct,dai_z,tci_cert,tci_foreign_tech,tci_z,mgr_experience,mgr_female,female_owner,foreign_own_pct,firm_age,size_strata,ln_size,isic_sector,legal_status,wstrict,wmedian
China,2024,East Asia,3,Upper_mid,1511904,,,1200.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,16.0,0.0,0.0,,5.0,2.0,7.090076835776092,4,2,1.9316898584365845,14.18273639678955
China,2024,East Asia,3,Upper_mid,1511905,,,6.0,0.0,0,0.0,0.0,1.0,60.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,3.0,0.0,0.0,,1.0,10.0,1.791759469228055,2,2,315.5999755859375,2319.742919921875
China,2024,East Asia,3,Upper_mid,1511906,12.691580461311874,13000000.0,40.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,1.0,0.0,0.5189468355689744,20.0,0.0,0.0,,13.0,2.0,3.6888794541139363,2,2,36.60696792602539,266.0997619628906
China,2024,East Asia,3,Upper_mid,1511907,9.808177372731803,6000000.0,330.0,0.35,1,35.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,1.0,,6.0,2.0,5.799092654460526,3,2,5.205535411834717,42.0224609375
China,2024,East Asia,3,Upper_mid,1511908,11.969683867465942,3000000.0,19.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,30.0,0.0,1.0,,7.0,10.0,2.9444389791664403,1,2,812.8125,10803.466796875
China,2024,East Asia,3,Upper_mid,1511909,10.334270468628583,4000000.0,130.0,0.66,1,66.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,22.0,0.0,0.0,,9.0,2.0,4.867534450455582,3,2,5.205535411834717,42.0224609375
China,2024,East Asia,3,Upper_mid,1511910,,,40.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,20.0,0.0,1.0,,5.0,2.0,3.6888794541139363,1,2,45.56117248535156,598.887939453125
China,2024,East Asia,3,Upper_mid,1511911,,,40.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,8.0,0.0,0.0,,6.0,13.0,3.6888794541139363,1,2,468.40753173828125,10216.693359375
China,2024,East Asia,3,Upper_mid,1511912,,,482.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,,0.0,-0.23846222614402734,40.0,0.0,0.0,,28.0,10.0,6.1779441140506,4,2,12.053276062011719,89.48492431640625
China,2024,East Asia,3,Upper_mid,1511913,,,10.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,40.0,0.0,0.0,,22.0,3.0,2.302585092994046,1,2,65.53685760498047,550.51220703125
China,2024,East Asia,3,Upper_mid,1511914,11.982929094215963,40000000.0,250.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,35.0,1.0,1.0,,10.0,11.0,5.521460917862246,3,2,17.177444458007812,104.8689956665039
China,2024,East Asia,3,Upper_mid,1511915,,,300.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,20.0,0.0,0.0,,10.0,11.0,5.703782474656201,3,2,17.177444458007812,104.8689956665039
China,2024,East Asia,3,Upper_mid,1511916,,,30.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,,,10.0,0.0,0.0,,3.0,7.0,3.4011973816621555,2,2,125.55823516845703,684.9743041992188
China,2024,East Asia,3,Upper_mid,1511917,,,900.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,15.0,0.0,0.0,,1.0,6.0,6.802394763324311,4,2,11.798686027526855,41.4873161315918
China,2024,East Asia,3,Upper_mid,1511918,,,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,,0.0,-0.23846222614402734,8.0,1.0,0.0,,1.0,3.0,1.6094379124341003,1,2,65.53685760498047,550.51220703125
China,2024,East Asia,3,Upper_mid,1511919,20.36659089300768,3500000000.0,5.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,7.0,0.0,0.0,,4.0,12.0,1.6094379124341003,2,2,528.375244140625,5127.96044921875
China,2024,East Asia,3,Upper_mid,1511920,,,7.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,,0.0,-0.23846222614402734,20.0,1.0,1.0,,9.0,14.0,1.9459101490553132,1,2,544.2341918945312,9527.3515625
China,2024,East Asia,3,Upper_mid,1511921,,,155.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,20.0,0.0,0.0,,2.0,12.0,5.043425116919247,3,2,98.76651763916016,1064.5037841796875
China,2024,East Asia,3,Upper_mid,1511922,13.682315243313004,14880000.0,17.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,40.0,0.0,1.0,,18.0,12.0,2.833213344056216,1,2,1417.2652587890625,3285.2021484375
China,2024,East Asia,3,Upper_mid,1511923,,,20.0,0.0,0,0.0,0.0,1.0,100.0,-0.3443543939006972,0.0,0.0,-0.5107844810988554,25.0,0.0,0.0,,4.0,12.0,2.995732273553991,2,2,813.4832153320312,1042.772705078125
China,2024,East Asia,3,Upper_mid,1511924,,,75.0,0.0,0,0.0,1.0,1.0,100.0,0.6684759527978941,0.0,0.0,-0.5107844810988554,30.0,0.0,1.0,,2.0,2.0,4.31748811353631,1,2,37.93471908569336,65.86070251464844
