country,year,icrv_group,icrv_label,cy_fe,ln_labor_prod,ln_size,fsts,exporter,tci_full_raw,tci_thin_raw,tci_z,tci_thin_z,dai_rich_raw,dai_thin_raw,dai_z,dai_thin_z,mgr_experience,mgr_female,firm_age,foreign_own_pct,female_owner
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.47197403833992,2.9444389791664403,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,17.622173047734595,3.688879454113936,1.0,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,21.299879201250405,4.605170185988092,0.1,1.0,1.0,1.0,2.1602140991001226,2.0211566103842005,1.0,1.0,0.8519895800978436,1.6260655733515932,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,18.74276424312148,6.214608098422191,0.15,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.48155270463763,5.19295685089021,0.0,0.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,1,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,20.666107423106464,5.19295685089021,0.9,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,0.0,0.0,-1.6156864037525376,-1.0151374180969084,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,20.030118656386467,4.0943445622221,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,21.32210233803512,3.912023005428146,1.0,1.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.90495551343246,3.5263605246161616,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,0.0,0.0,-1.6156864037525376,-1.0151374180969084,1,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,20.045232294196516,5.2832037287379885,0.0,0.0,1.0,1.0,2.1602140991001226,2.0211566103842005,1.0,1.0,0.8519895800978436,1.6260655733515932,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.895770603855382,6.551080335043404,0.45,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,2,100.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,20.06161732344584,5.521460917862246,0.26,1.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,3,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,19.11382792451231,4.0943445622221,0.0,0.0,0.5,0.5,0.61282946543714,0.6352761841582654,1.0,0.5,0.8519895800978436,0.30546407762734235,2,,2,0.0,
Vietnam,2009,4,Lower_mid_transition,Vietnam_2009,17.391061326771208,4.248495242049359,0.0,0.0,0.0,0.0,-0.9345551682258427,-0.7506042420676701,1.0,0.5,0.8519895800978436,0.30546407762734235,2,,2,0.0,
