"term","b","se","t","p","ci_lo","ci_hi","n","r2","sample","model"
"(Intercept)",13.0299798694823,0.182937204822012,71.2265166736304,0,12.6714229480312,13.3885367909335,1944,0.0483114995879784,"CHN2024","M0"
"lnEmp",0.1284224947712,0.0225078264958563,5.70568174562935,1.33730099445525e-08,0.0843071548393216,0.172537834703078,1944,0.0483114995879784,"CHN2024","M0"
"firmage",-0.288437335651314,0.0763672329437451,-3.77697769753931,0.000163524898394723,-0.438117112221055,-0.138757559081574,1944,0.0483114995879784,"CHN2024","M0"
"foreign",0.265949565243288,0.11101860302841,2.39554054895854,0.0166901432135888,0.0483531033076041,0.483546027178971,1944,0.0483114995879784,"CHN2024","M0"
"(Intercept)",13.0532187758042,0.183936117572668,70.9660448859221,0,12.6927039853618,13.4137335662467,1944,0.0489776220214555,"CHN2024","M1"
"FSTSc",0.151584043707692,0.120508856094955,1.25786642259928,0.208591527822772,-0.0846133142384197,0.387781401653804,1944,0.0489776220214555,"CHN2024","M1"
"lnEmp",0.125005971856552,0.0226797180878596,5.51179566572598,4.02661200553206e-08,0.0805537244043468,0.169458219308756,1944,0.0489776220214555,"CHN2024","M1"
"firmage",-0.29306385652802,0.0765517187216796,-3.8283119101939,0.000133119337687116,-0.443105225222511,-0.143022487833528,1944,0.0489776220214555,"CHN2024","M1"
"foreign",0.241108876386211,0.11316381447685,2.13061814415539,0.033246135603758,0.0193078000115854,0.462909952760836,1944,0.0489776220214555,"CHN2024","M1"
"(Intercept)",13.1616335133696,0.186448663167825,70.5911927162632,0,12.7961941335607,13.5270728931785,1944,0.0515990885045169,"CHN2024","M2"
"FSTSc",1.0333261723157,0.340438702593999,3.03527819969408,0.0024351184091729,0.366066315231464,1.70058602939994,1944,0.0515990885045169,"CHN2024","M2"
"FSTScsq",-1.34404661020249,0.508503570059531,-2.64314095188188,0.00828025988574402,-2.34071360751917,-0.347379612885805,1944,0.0515990885045169,"CHN2024","M2"
"lnEmp",0.115055466944238,0.023236554021876,4.95148578553942,8.00292386451195e-07,0.0695118210613609,0.160599112827115,1944,0.0515990885045169,"CHN2024","M2"
"firmage",-0.286949314123983,0.0765338986530098,-3.74931003351805,0.000182521387335136,-0.436955755483883,-0.136942872764084,1944,0.0515990885045169,"CHN2024","M2"
"foreign",0.244772987102906,0.111603690670471,2.19323380465652,0.0284089792480006,0.0260297533887829,0.463516220817028,1944,0.0515990885045169,"CHN2024","M2"
"(Intercept)",13.0439730347622,0.183268730982687,71.1740238764158,0,12.6847663220361,13.4031797474883,1943,0.0826556082841672,"CHN2024","M3"
"FSTSc",0.510726670453146,0.337894553682547,1.51149719605417,0.130825024169817,-0.151546654764647,1.17299999567094,1943,0.0826556082841672,"CHN2024","M3"
"FSTScsq",-0.709368385100684,0.502983634270059,-1.41032100603062,0.158605560649884,-1.69521630827,0.276479538068631,1943,0.0826556082841672,"CHN2024","M3"
"TCI",0.93618169303103,0.105670880782197,8.85941033235667,1.78021980515743e-18,0.729066766697923,1.14329661936414,1943,0.0826556082841672,"CHN2024","M3"
"lnEmp",0.0299131425826735,0.0246281551534333,1.21459128368791,0.224670136343007,-0.0183580415180556,0.0781843266834027,1943,0.0826556082841672,"CHN2024","M3"
"firmage",-0.243584211864501,0.0752631404118273,-3.2364343360063,0.00123076682424513,-0.391099967071683,-0.0960684566573197,1943,0.0826556082841672,"CHN2024","M3"
"foreign",0.232180226180639,0.107903337553864,2.15174276759268,0.0315409539572044,0.0206896845750654,0.443670767786213,1943,0.0826556082841672,"CHN2024","M3"
"(Intercept)",13.0624452641371,0.183317715466331,71.255771603461,0,12.7031425418231,13.4217479864511,1943,0.0835108273339503,"CHN2024","M4"
"FSTSc",0.806517780422774,0.412987582766167,1.95288627086743,0.0509770504456707,-0.00293788179891374,1.61597344264446,1943,0.0835108273339503,"CHN2024","M4"
"FSTScsq",-0.815125355877002,0.518449050390891,-1.57223811146424,0.116058825959917,-1.83128549464315,0.201034782889144,1943,0.0835108273339503,"CHN2024","M4"
"TCI",0.934193386863881,0.105532012790696,8.85222751049664,1.89463998008776e-18,0.727350641794117,1.14103613193364,1943,0.0835108273339503,"CHN2024","M4"
"lnEmp",0.0287625435778863,0.0246324410946442,1.16766923210628,0.24308407073808,-0.0195170409676163,0.0770421281233889,1943,0.0835108273339503,"CHN2024","M4"
"firmage",-0.243635552789062,0.0752170081775895,-3.23910188256666,0.00121938589243521,-0.391060888817138,-0.0962102167609868,1943,0.0835108273339503,"CHN2024","M4"
"foreign",0.236158672447199,0.107858787637007,2.18951721617693,0.0286783253737612,0.0247554486786644,0.447561896215734,1943,0.0835108273339503,"CHN2024","M4"
"FSTSc:TCI",-0.552311526401624,0.349382633529368,-1.58082134999763,0.11408232533718,-1.23710148811919,0.132478435315937,1943,0.0835108273339503,"CHN2024","M4"
"(Intercept)",13.0413881061197,0.191648754643092,68.0483842976529,0,12.6657565470193,13.4170196652202,1943,0.0835647802529135,"CHN2024","M5"
"FSTSc",0.603170011706908,0.674080970930289,0.894803499458651,0.371003484264766,-0.718028691316459,1.92436871473027,1943,0.0835647802529135,"CHN2024","M5"
"FSTScsq",-0.512801594218996,0.930918643373544,-0.550855434971912,0.581796403887709,-2.33740213523114,1.31179894679315,1943,0.0835647802529135,"CHN2024","M5"
"TCI",0.974148626341057,0.141597075808483,6.87972276813569,8.07008040463493e-12,0.69661835775643,1.25167889492568,1943,0.0835647802529135,"CHN2024","M5"
